annotation_uuid,BeetleID,BeetlePosition,ImageFileName,ImageSize,ImageFilePath,detection_coords,cropped_image_path,CollectionDate,SpeciesCode,ScientificName,Genus,Species,PlotID,TrapID,Plot_Trap,Barcoded?,Photographer,SD Card Number,Comment,SiteID,SiteName,SiteState,SiteDomainCode,SiteLatitude,SiteLongitude,SiteType,SiteTerrain,max_temp,min_temp,precipitation,rain_sum,snowfall_sum,precipitation_hours,wind_speed_max,wind_gusts_max,shortwave_radiation,evapotranspiration,weather_code,sunshine_duration
d83bcd1a-cc6f-4e41-a0c1-103d2869633f,BET.D20.000001,1,IMG_0093.JPG,"6960, 4640",group_images/IMG_0093.JPG,"[3799, 804, 3985, 1257]",individual_images/IMG_0093.JPG/d83bcd1a-cc6f-4e41-a0c1-103d2869633f.png,2019-04-24,MECKON,Mecyclothorax konanus,Mecyclothorax,Konanus,6.0,W,006W,N,AE,1.0,,PUUM,Puu Makaala Natural Area Reserve NEON,HI,D20,19.55309,-155.31731,CORE,TERRESTRIAL,14.9,9.8,0.7,0.7,0.0,4.0,12.3,29.9,21.15,3.03,51.0,42183.39
6d1bbf67-aabe-4145-8e62-fd61b6c43646,BET.D20.000003,2,IMG_0093.JPG,"6960, 4640",group_images/IMG_0093.JPG,"[3836, 2143, 4021, 2543]",individual_images/IMG_0093.JPG/6d1bbf67-aabe-4145-8e62-fd61b6c43646.png,2019-04-24,MECKON,Mecyclothorax konanus,Mecyclothorax,Konanus,16.0,W,016W,Y,AE,1.0,,PUUM,Puu Makaala Natural Area Reserve NEON,HI,D20,19.55309,-155.31731,CORE,TERRESTRIAL,14.9,9.8,0.7,0.7,0.0,4.0,12.3,29.9,21.15,3.03,51.0,42183.39
3bca774a-124e-445a-928d-263a962ff66f,BET.D20.000004,3,IMG_0093.JPG,"6960, 4640",group_images/IMG_0093.JPG,"[3929, 3452, 4118, 3918]",individual_images/IMG_0093.JPG/3bca774a-124e-445a-928d-263a962ff66f.png,2019-04-24,MECKON,Mecyclothorax konanus,Mecyclothorax,Konanus,6.0,E,006E,N,AE,1.0,,PUUM,Puu Makaala Natural Area Reserve NEON,HI,D20,19.55309,-155.31731,CORE,TERRESTRIAL,14.9,9.8,0.7,0.7,0.0,4.0,12.3,29.9,21.15,3.03,51.0,42183.39
92e4dc41-46c4-4d89-8beb-58dcc59b165d,BET.D20.000005,1,IMG_0095.JPG,"6960, 4640",group_images/IMG_0095.JPG,"[2587, 440, 2873, 1103]",individual_images/IMG_0095.JPG/92e4dc41-46c4-4d89-8beb-58dcc59b165d.png,2019-04-24,MECKON,Mecyclothorax konanus,Mecyclothorax,Konanus,14.0,S,014S,N,AE,1.0,,PUUM,Puu Makaala Natural Area Reserve NEON,HI,D20,19.55309,-155.31731,CORE,TERRESTRIAL,14.9,9.8,0.7,0.7,0.0,4.0,12.3,29.9,21.15,3.03,51.0,42183.39
053e5d84-4360-49c7-97b8-a2191451977e,BET.D20.000007,2,IMG_0095.JPG,"6960, 4640",group_images/IMG_0095.JPG,"[2552, 1616, 2801, 2085]",individual_images/IMG_0095.JPG/053e5d84-4360-49c7-97b8-a2191451977e.png,2019-04-24,MECKON,Mecyclothorax konanus,Mecyclothorax,Konanus,6.0,E,006E,Y,AE,1.0,,PUUM,Puu Makaala Natural Area Reserve NEON,HI,D20,19.55309,-155.31731,CORE,TERRESTRIAL,14.9,9.8,0.7,0.7,0.0,4.0,12.3,29.9,21.15,3.03,51.0,42183.39
fdb0fb12-a517-4878-9f8e-8940313b7777,BET.D20.000010,3,IMG_0095.JPG,"6960, 4640",group_images/IMG_0095.JPG,"[2571, 2430, 2857, 2964]",individual_images/IMG_0095.JPG/fdb0fb12-a517-4878-9f8e-8940313b7777.png,2019-04-24,MECKON,Mecyclothorax konanus,Mecyclothorax,Konanus,14.0,W,014W,Y,AE,1.0,,PUUM,Puu Makaala Natural Area Reserve NEON,HI,D20,19.55309,-155.31731,CORE,TERRESTRIAL,14.9,9.8,0.7,0.7,0.0,4.0,12.3,29.9,21.15,3.03,51.0,42183.39
403a5b66-82a7-44a0-94ca-0a3b1680a501,BET.D20.000011,1,IMG_0109.JPG,"6960, 4640",group_images/IMG_0109.JPG,"[4266, 811, 4583, 1166]",individual_images/IMG_0109.JPG/403a5b66-82a7-44a0-94ca-0a3b1680a501.png,2019-04-24,MECKON,Mecyclothorax konanus,Mecyclothorax,Konanus,14.0,E,014E,N,AE,1.0,,PUUM,Puu Makaala Natural Area Reserve NEON,HI,D20,19.55309,-155.31731,CORE,TERRESTRIAL,14.9,9.8,0.7,0.7,0.0,4.0,12.3,29.9,21.15,3.03,51.0,42183.39
17b627be-dcfa-4e7e-b62d-8d5527acc98e,BET.D20.000017,2,IMG_0109.JPG,"6960, 4640",group_images/IMG_0109.JPG,"[4250, 1572, 4557, 1994]",individual_images/IMG_0109.JPG/17b627be-dcfa-4e7e-b62d-8d5527acc98e.png,2019-04-24,MECKON,Mecyclothorax konanus,Mecyclothorax,Konanus,14.0,S,014S,N,AE,1.0,,PUUM,Puu Makaala Natural Area Reserve NEON,HI,D20,19.55309,-155.31731,CORE,TERRESTRIAL,14.9,9.8,0.7,0.7,0.0,4.0,12.3,29.9,21.15,3.03,51.0,42183.39
916d7ed4-d792-4860-bba2-581a762b7a1e,BET.D20.000026,3,IMG_0109.JPG,"6960, 4640",group_images/IMG_0109.JPG,"[4199, 2360, 4440, 2776]",individual_images/IMG_0109.JPG/916d7ed4-d792-4860-bba2-581a762b7a1e.png,2019-04-24,MECKON,Mecyclothorax konanus,Mecyclothorax,Konanus,14.0,W,014W,N,AE,1.0,,PUUM,Puu Makaala Natural Area Reserve NEON,HI,D20,19.55309,-155.31731,CORE,TERRESTRIAL,14.9,9.8,0.7,0.7,0.0,4.0,12.3,29.9,21.15,3.03,51.0,42183.39
8a77c043-b1f9-4329-a531-b6651a1d9816,BET.D20.000035,1,IMG_0110.JPG,"6960, 4640",group_images/IMG_0110.JPG,"[3061, 1642, 3288, 2080]",individual_images/IMG_0110.JPG/8a77c043-b1f9-4329-a531-b6651a1d9816.png,2019-04-24,MECKON,Mecyclothorax konanus,Mecyclothorax,Konanus,14.0,S,014S,N,AE,1.0,,PUUM,Puu Makaala Natural Area Reserve NEON,HI,D20,19.55309,-155.31731,CORE,TERRESTRIAL,14.9,9.8,0.7,0.7,0.0,4.0,12.3,29.9,21.15,3.03,51.0,42183.39
