ImageFilePath,Genus,ScientificName,Predictions,PredGenus
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0093.JPG/d83bcd1a-cc6f-4e41-a0c1-103d2869633f.png,Mecyclothorax,Mecyclothorax konanus,"{'file_name': '/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0093.JPG/d83bcd1a-cc6f-4e41-a0c1-103d2869633f.png', 'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Coleoptera', 'family': 'Carabidae', 'genus': 'Pterostichus', 'score': 0.47954484820365906}",Pterostichus
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0093.JPG/6d1bbf67-aabe-4145-8e62-fd61b6c43646.png,Mecyclothorax,Mecyclothorax konanus,"{'file_name': '/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0093.JPG/6d1bbf67-aabe-4145-8e62-fd61b6c43646.png', 'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Coleoptera', 'family': 'Carabidae', 'genus': 'Masoreus', 'score': 0.34701067209243774}",Masoreus
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0093.JPG/3bca774a-124e-445a-928d-263a962ff66f.png,Mecyclothorax,Mecyclothorax konanus,"{'file_name': '/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0093.JPG/3bca774a-124e-445a-928d-263a962ff66f.png', 'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Coleoptera', 'family': 'Carabidae', 'genus': 'Patrobus', 'score': 0.381312757730484}",Patrobus
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0095.JPG/92e4dc41-46c4-4d89-8beb-58dcc59b165d.png,Mecyclothorax,Mecyclothorax konanus,"{'file_name': '/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0095.JPG/92e4dc41-46c4-4d89-8beb-58dcc59b165d.png', 'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Coleoptera', 'family': 'Carabidae', 'genus': 'Laemostenus', 'score': 0.8785310387611389}",Laemostenus
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0095.JPG/053e5d84-4360-49c7-97b8-a2191451977e.png,Mecyclothorax,Mecyclothorax konanus,"{'file_name': '/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0095.JPG/053e5d84-4360-49c7-97b8-a2191451977e.png', 'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Coleoptera', 'family': 'Carabidae', 'genus': 'Agonum', 'score': 0.9020555019378662}",Agonum
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0095.JPG/fdb0fb12-a517-4878-9f8e-8940313b7777.png,Mecyclothorax,Mecyclothorax konanus,"{'file_name': '/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0095.JPG/fdb0fb12-a517-4878-9f8e-8940313b7777.png', 'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Coleoptera', 'family': 'Carabidae', 'genus': 'Cymindis', 'score': 0.20654445886611938}",Cymindis
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0109.JPG/403a5b66-82a7-44a0-94ca-0a3b1680a501.png,Mecyclothorax,Mecyclothorax konanus,"{'file_name': '/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0109.JPG/403a5b66-82a7-44a0-94ca-0a3b1680a501.png', 'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Coleoptera', 'family': 'Carabidae', 'genus': 'Ocys', 'score': 0.4438605308532715}",Ocys
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0109.JPG/17b627be-dcfa-4e7e-b62d-8d5527acc98e.png,Mecyclothorax,Mecyclothorax konanus,"{'file_name': '/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0109.JPG/17b627be-dcfa-4e7e-b62d-8d5527acc98e.png', 'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Coleoptera', 'family': 'Chrysomelidae', 'genus': 'Ivalia', 'score': 0.1954496204853058}",Ivalia
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0109.JPG/916d7ed4-d792-4860-bba2-581a762b7a1e.png,Mecyclothorax,Mecyclothorax konanus,"{'file_name': '/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0109.JPG/916d7ed4-d792-4860-bba2-581a762b7a1e.png', 'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Coleoptera', 'family': 'Carabidae', 'genus': 'Bembidion', 'score': 0.21750082075595856}",Bembidion
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0110.JPG/8a77c043-b1f9-4329-a531-b6651a1d9816.png,Mecyclothorax,Mecyclothorax konanus,"{'file_name': '/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0110.JPG/8a77c043-b1f9-4329-a531-b6651a1d9816.png', 'kingdom': 'Animalia', 'phylum': 'Arthropoda', 'class': 'Insecta', 'order': 'Coleoptera', 'family': 'Carabidae', 'genus': 'Ocys', 'score': 0.3351127505302429}",Ocys
