ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5873218/d181s0206.jpg,Harpalus rubripes,Calathus rotundicollis,Harpalus rubripes,Calathus rotundicollis,Harpalus rubripes
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4308800/d084s0188.jpg,Bembidion fumigatum,Trechus obtusus,Bembidion fumigatum,Bembidion fumigatum,Bembidion bruxellense
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/7708350/d121s0496.jpg,Pterostichus nigrita,Pterostichus anthracinus,Pterostichus nigrita,Pterostichus nigrita,Pterostichus nigrita
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4988354/d133s0112.jpg,Calathus melanocephalus,Calathus micropterus,Calathus melanocephalus,Calathus melanocephalus,Calathus melanocephalus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4470765/d026s0097.jpg,Carabus violaceus,Carabus violaceus,Carabus violaceus,Carabus violaceus,Carabus problematicus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1035551/d049s0067.jpg,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5872111/d100s0429.jpg,Bembidion lunulatum,Bembidion schueppelii,Bembidion lunulatum,Bembidion lunulatum,Bembidion lunulatum
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4474146/d139s0626.jpg,Oxypselaphus obscurus,Bembidion decorum,Oxypselaphus obscurus,Oxypselaphus obscurus,Oxypselaphus obscurus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4475794/d199s0121.jpg,Anthracus consputus,Anthracus consputus,Anthracus consputus,Anthracus consputus,Anthracus consputus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4988484/d153s0307.jpg,Agonum muelleri,Agonum muelleri,Agonum muelleri,Agonum muelleri,Agonum muelleri
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4470801/d015s0080.jpg,Carabus monilis,Carabus monilis,Carabus monilis,Carabus monilis,Carabus monilis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/9346940/d040s0071.jpg,Notiophilus aquaticus,Notiophilus aquaticus,Notiophilus aquaticus,Notiophilus aquaticus,Bembidion varium
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1035931/d080s0019.jpg,Bembidion tetracolum,Bembidion fluviatile,Bembidion tetracolum,Bembidion tetracolum,Bembidion deletum
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5873214/d177s0077.jpg,Harpalus attenuatus,Harpalus tenebrosus,Harpalus attenuatus,Harpalus rufipalpis,Harpalus attenuatus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5755339/d179s0238.jpg,Harpalus latus,Calathus ambiguus,Harpalus attenuatus,Harpalus smaragdinus,Ophonus melletii
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/8423772/d119s0058.jpg,Pterostichus anthracinus,Pterostichus gracilis,Pterostichus anthracinus,Pterostichus anthracinus,Pterostichus anthracinus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4988354/d133s0492.jpg,Calathus melanocephalus,Calathus cinctus,Calathus melanocephalus,Calathus melanocephalus,Calathus melanocephalus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/8267077/d198s0139.jpg,Acupalpus dorsalis,Trechus quadristriatus,Acupalpus dorsalis,Paradromius linearis,Acupalpus dorsalis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1035195/d161s0274.jpg,Amara familiaris,Amara convexior,Amara anthobia,Amara convexior,Amara anthobia
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1035195/d161s0315.jpg,Amara familiaris,Amara curta,Amara familiaris,Amara consularis,Amara familiaris
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5755079/d146s0031.jpg,Agonum fuliginosum,Patrobus atrorufus,Agonum gracile,Agonum fuliginosum,Pterostichus strenuus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/6097857/d207s0187.jpg,Lebia chlorocephala,Lebia chlorocephala,Lebia chlorocephala,Lebia chlorocephala,Lebia chlorocephala
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4475677/d197s0612.jpg,Acupalpus dubius,Acupalpus dubius,Acupalpus dubius,Acupalpus dubius,Acupalpus dubius
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/6097900/d006s0050.jpg,Cylindera germanica,Cicindela campestris,Agonum marginatum,Cylindera germanica,Cylindera germanica
