ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5873218/d181s0206.jpg,Harpalus rubripes,Harpalus rubripes,Harpalus rubripes,Amara apricaria,Harpalus dimidiatus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4308800/d084s0188.jpg,Bembidion fumigatum,Dyschirius tristis,Asaphidion pallipes,Bembidion lunulatum,Bembidion varium
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/7708350/d121s0496.jpg,Pterostichus nigrita,Pterostichus anthracinus,Pterostichus nigrita,Amara eurynota,Pterostichus nigrita
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4988354/d133s0112.jpg,Calathus melanocephalus,Bembidion fluviatile,Calathus melanocephalus,Agonum fuliginosum,Calathus melanocephalus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4470765/d026s0097.jpg,Carabus violaceus,Carabus violaceus,Carabus violaceus,Abax parallelepipedus,Carabus violaceus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1035551/d049s0067.jpg,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5872111/d100s0429.jpg,Bembidion lunulatum,Bembidion nigropiceum,Microlestes maurus,Bembidion minimum,Bembidion normannum
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4474146/d139s0626.jpg,Oxypselaphus obscurus,Ophonus puncticeps,Bembidion monticola,Bembidion decorum,Bradycellus sharpi
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4475794/d199s0121.jpg,Anthracus consputus,Badister dilatatus,Dicheirotrichus placidus,Dromius quadrimaculatus,Anthracus consputus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4988484/d153s0307.jpg,Agonum muelleri,Agonum viduum,Agonum marginatum,Agonum emarginatum,Agonum marginatum
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4470801/d015s0080.jpg,Carabus monilis,Carabus monilis,Carabus monilis,Carabus granulatus,Carabus monilis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/9346940/d040s0071.jpg,Notiophilus aquaticus,Ocys quinquestriatus,Dyschirius impunctipennis,Agonum gracile,Bembidion litorale
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1035931/d080s0019.jpg,Bembidion tetracolum,Harpalus pumilus,Bembidion tetracolum,Badister bullatus,Bembidion tetracolum
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5873214/d177s0077.jpg,Harpalus attenuatus,Harpalus anxius,Harpalus attenuatus,Amara lucida,Harpalus smaragdinus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5755339/d179s0238.jpg,Harpalus latus,Ophonus azureus,Harpalus latus,Clivina fossor,Harpalus latus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/8423772/d119s0058.jpg,Pterostichus anthracinus,Amara ovata,Nebria brevicollis,Harpalus serripes,Pterostichus oblongopunctatus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4988354/d133s0492.jpg,Calathus melanocephalus,Agonum nigrum,Calathus melanocephalus,Badister bullatus,Calathus melanocephalus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/8267077/d198s0139.jpg,Acupalpus dorsalis,Notiophilus quadripunctatus,Bembidion femoratum,Bembidion femoratum,Bembidion femoratum
