ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_SVMLinear,Pred_SVMPolynomial,Pred_SVMRadialBasis,Pred_NearestNeighbor,Pred_RandomForest,Pred_MLP_Baseline
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0151.JPG/d7d8c428-6ee3-4af9-83ad-d3131671f10d.png,Mecyclothorax discedens,Mecyclothorax discedens,Mecyclothorax discedens,Mecyclothorax discedens,Mecyclothorax konanus,Trechus obtusus,Trechus obtusus,Trechus obtusus,Mecyclothorax discedens
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0354.JPG/dce547b0-ba24-4336-9ef0-937c04e71b2f.png,Mecyclothorax konanus,Mecyclothorax karschi,Mecyclothorax konanus,Mecyclothorax discedens,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0352.JPG/5b80b565-dcbc-462f-b912-e5c3c705631e.png,Mecyclothorax konanus,Mecyclothorax rufipennis,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0460.JPG/83393f6e-6def-44bd-a84b-7c851fa5c244.png,Trechus obtusus,Mecyclothorax konanus,Trechus obtusus,Trechus obtusus,Mecyclothorax konanus,Trechus obtusus,Mecyclothorax konanus,Mecyclothorax konanus,Trechus obtusus
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0295.JPG/33344f85-9f96-472f-9d29-a810936063da.png,Mecyclothorax konanus,Mecyclothorax karschi,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0444.JPG/3eaa4556-6686-4a1b-a5c9-207dcd17303e.png,Mecyclothorax konanus,Agonum muelleri,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0553.JPG/6fa0c5a4-5f44-4bb7-9c7d-c9079e0c6fbf.png,Trechus obtusus,Mecyclothorax rufipennis,Trechus obtusus,Trechus obtusus,Trechus obtusus,Trechus obtusus,Trechus obtusus,Trechus obtusus,Trechus obtusus
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0536.JPG/477a6fc0-06c1-4aa0-913c-3c472f0a443e.png,Trechus obtusus,Trechus obtusus,Trechus obtusus,Trechus obtusus,Mecyclothorax konanus,Trechus obtusus,Trechus obtusus,Trechus obtusus,Trechus obtusus
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0389.JPG/36cd3684-eaa1-4f55-9c43-7984430f6e67.png,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus,Mecyclothorax konanus
/fs/ess/PAS2136/Hawaii-2025/beetles_intake/BeetlePUUM/CANON/individual_images/IMG_0189.JPG/442cce64-ca32-42a4-821c-ab59268f383b.png,Mecyclothorax discedens,Mecyclothorax brunneonubiger,Trechus obtusus,Trechus obtusus,Trechus obtusus,Trechus obtusus,Trechus obtusus,Trechus obtusus,Trechus obtusus
