ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5873218/d181s0206.jpg,Harpalus rubripes,Harpalus rubripes,Harpalus rubripes,Amara fulva,Harpalus rubripes
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4308800/d084s0188.jpg,Bembidion fumigatum,Patrobus assimilis,Trechus obtusus,Bembidion punctulatum,Bembidion deletum
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/7708350/d121s0496.jpg,Pterostichus nigrita,Bembidion tibiale,Pterostichus nigrita,Pterostichus nigrita,Platynus assimilis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4988354/d133s0112.jpg,Calathus melanocephalus,Patrobus assimilis,Calathus melanocephalus,Agonum fuliginosum,Calathus melanocephalus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4470765/d026s0097.jpg,Carabus violaceus,Calathus melanocephalus,Carabus problematicus,Cychrus caraboides,Carabus problematicus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1035551/d049s0067.jpg,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5872111/d100s0429.jpg,Bembidion lunulatum,Asaphidion stierlini,Syntomus obscuroguttatus,Bembidion atrocaeruleum,Syntomus truncatellus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4474146/d139s0626.jpg,Oxypselaphus obscurus,Dicheirotrichus placidus,Oxypselaphus obscurus,Bembidion stephensii,Oxypselaphus obscurus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4475794/d199s0121.jpg,Anthracus consputus,Anthracus consputus,Anthracus consputus,Acupalpus dorsalis,Anthracus consputus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4988484/d153s0307.jpg,Agonum muelleri,Agonum viduum,Agonum muelleri,Amara plebeja,Agonum muelleri
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4470801/d015s0080.jpg,Carabus monilis,Carabus granulatus,Carabus monilis,Carabus granulatus,Carabus granulatus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/9346940/d040s0071.jpg,Notiophilus aquaticus,Bembidion prasinum,Bembidion punctulatum,Bembidion bruxellense,Notiophilus aquaticus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1035931/d080s0019.jpg,Bembidion tetracolum,Bembidion fluviatile,Bembidion tetracolum,Badister bullatus,Bembidion tetracolum
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5873214/d177s0077.jpg,Harpalus attenuatus,Anisodactylus nemorivagus,Harpalus serripes,Agonum emarginatum,Harpalus rufipalpis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5755339/d179s0238.jpg,Harpalus latus,Curtonotus convexiusculus,Harpalus tardus,Calathus erratus,Harpalus smaragdinus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/8423772/d119s0058.jpg,Pterostichus anthracinus,Amara ovata,Pterostichus macer,Amara apricaria,Pterostichus macer
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4988354/d133s0492.jpg,Calathus melanocephalus,Polistichus connexus,Calathus melanocephalus,Calathus melanocephalus,Calathus melanocephalus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/8267077/d198s0139.jpg,Acupalpus dorsalis,Notiophilus quadripunctatus,Ocys harpaloides,Bembidion femoratum,Trechus fulvus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1035195/d161s0274.jpg,Amara familiaris,Cymindis vaporariorum,Amara lucida,Amara apricaria,Amara familiaris
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1035195/d161s0315.jpg,Amara familiaris,Ophonus rufibarbis,Amara familiaris,Amara familiaris,Amara familiaris
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5755079/d146s0031.jpg,Agonum fuliginosum,Miscodera arctica,Notiophilus palustris,Agonum gracile,Pterostichus vernalis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/6097857/d207s0187.jpg,Lebia chlorocephala,Calathus mollis,Anchomenus dorsalis,Dicheirotrichus gustavii,Anchomenus dorsalis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4475677/d197s0612.jpg,Acupalpus dubius,Philorhizus melanocephalus,Acupalpus dubius,Acupalpus dubius,Acupalpus dubius
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/6097900/d006s0050.jpg,Cylindera germanica,Cicindela campestris,Cylindera germanica,Cylindera germanica,Harpalus anxius
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1035931/d080s0739.jpg,Bembidion tetracolum,Dicheirotrichus placidus,Bembidion tetracolum,Bradycellus sharpi,Bembidion stomoides
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5873357/d201s0092.jpg,Chlaenius vestitus,Loricera pilicornis,Ophonus rufibarbis,Chlaenius vestitus,Chlaenius vestitus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/8051076/d033s0094.jpg,Nebria livida,Amara ovata,Nebria livida,Poecilus versicolor,Nebria brevicollis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5755562/d217s0070.jpg,Polistichus connexus,Polistichus connexus,Polistichus connexus,Polistichus connexus,Polistichus connexus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/9581584/d135s0100.jpg,Calathus mollis,Agonum thoreyi,Calathus mollis,Amara similata,Calathus mollis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1036899/d051s0067.jpg,Clivina collaris,Pogonus luridipennis,Clivina collaris,Clivina collaris,Clivina collaris
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4473277/d156s0063.jpg,Zabrus tenebrioides,Zabrus tenebrioides,Curtonotus convexiusculus,Broscus cephalotes,Curtonotus convexiusculus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4475140/d189s0520.jpg,Ophonus rufibarbis,Agonum nigrum,Calathus mollis,Batenus livens,Calathus mollis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4473319/d047s0204.jpg,Elaphrus cupreus,Elaphrus lapponicus,Elaphrus cupreus,Elaphrus cupreus,Elaphrus cupreus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5716409/d054s0416.jpg,Dyschirius impunctipennis,Bembidion lunatum,Dyschirius salinus,Bembidion lunatum,Dyschirius impunctipennis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1036154/d090s0017.jpg,Bembidion guttula,Bembidion schueppelii,Microlestes maurus,Microlestes maurus,Bembidion minimum
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5755079/d145s0448.jpg,Agonum fuliginosum,Agonum nigrum,Agonum fuliginosum,Agonum micans,Agonum thoreyi
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/7708350/d121s0341.jpg,Pterostichus nigrita,Pterostichus aethiops,Pterostichus madidus,Agonum viduum,Pterostichus anthracinus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/9533851/d086s0454.jpg,Bembidion doris,Bembidion pallidipenne,Bembidion doris,Acupalpus brunnipes,Bembidion doris
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5756010/d205s0238.jpg,Badister dilatatus,Bembidion lunatum,Agonum fuliginosum,Badister dilatatus,Agonum micans
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/6097865/d072s0307.jpg,Bembidion prasinum,Dicheirotrichus gustavii,Pterostichus minor,Bembidion lunatum,Pogonus littoralis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5755322/d129s0170.jpg,Calathus cinctus,Amara fulva,Calathus melanocephalus,Dicheirotrichus gustavii,Calathus cinctus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4475761/d193s0398.jpg,Dicheirotrichus placidus,Bembidion lunatum,Dicheirotrichus placidus,Bembidion lunatum,Dicheirotrichus placidus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/7873810/d123s0485.jpg,Pterostichus diligens,Anisodactylus poeciloides,Syntomus foveatus,Pterostichus diligens,Syntomus foveatus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4308806/d085s0003.jpg,Bembidion minimum,Philorhizus melanocephalus,Bembidion gilvipes,Acupalpus meridianus,Bembidion assimile
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4472849/d159s0149.jpg,Amara communis,Amara spreta,Amara aenea,Amara aenea,Amara ovata
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/7873810/d123s0342.jpg,Pterostichus diligens,Pogonus littoralis,Clivina fossor,Bembidion dentellum,Bembidion geniculatum
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4308815/d057s0262.jpg,Broscus cephalotes,Carabus nemoralis,Broscus cephalotes,Broscus cephalotes,Broscus cephalotes
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5872124/d087s0159.jpg,Bembidion articulatum,Syntomus obscuroguttatus,Bembidion gilvipes,Bembidion articulatum,Dyschirius globosus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5873211/d182s0057.jpg,Harpalus rufipalpis,Badister dilatatus,Harpalus rufipalpis,Amara communis,Amara ovata
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/6097854/d202s0066.jpg,Callistus lunatus,Callistus lunatus,Callistus lunatus,Callistus lunatus,Callistus lunatus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5872127/d074s0180.jpg,Bembidion tibiale,Sericoda quadripunctata,Pogonus chalceus,Bembidion bruxellense,Bembidion atrocaeruleum
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1036899/d051s0333.jpg,Clivina collaris,Bembidion lunatum,Clivina collaris,Clivina collaris,Clivina collaris
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5755302/d134s0046.jpg,Calathus micropterus,Paranchus albipes,Amara apricaria,Calathus micropterus,Amara apricaria
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5755027/d154s0094.jpg,Agonum nigrum,Bembidion fluviatile,Agonum nigrum,Agonum nigrum,Agonum nigrum
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4473903/d031s0311.jpg,Leistus spinibarbis,Cylindera germanica,Leistus spinibarbis,Leistus spinibarbis,Leistus spinibarbis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1036899/d051s0368.jpg,Clivina collaris,Dromius agilis,Clivina collaris,Clivina collaris,Clivina collaris
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5755051/d155s0142.jpg,Agonum sexpunctatum,Agonum ericeti,Agonum sexpunctatum,Agonum sexpunctatum,Agonum ericeti
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/6097854/d202s0063.jpg,Callistus lunatus,Callistus lunatus,Callistus lunatus,Callistus lunatus,Callistus lunatus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5755060/d151s0121.jpg,Agonum emarginatum,Pterostichus diligens,Agonum fuliginosum,Agonum emarginatum,Agonum fuliginosum
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5872143/d066s0354.jpg,Bembidion litorale,Bembidion litorale,Bembidion litorale,Agonum fuliginosum,Bembidion litorale
