ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/willistoni/b47e26f1-8417-4e5b-8a38-b9164ce5844e.png,Cicindela willistoni,Habroscelimorpha dorsalis,Cicindela willistoni,Cicindela duodecimguttata,Dicheirotrichus cognatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/hirticollis/5926731f-5281-4d3a-af55-50ee47ecdf8b.png,Cicindela hirticollis,Cicindela hirticollis,Cicindela hirticollis,Cicindela hirticollis,Cicindela hirticollis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Eunota/togata/e77c3f6f-50ef-499a-a421-5b987d22561b.png,Eunota togata,Eunota togata,Cicindela repanda,Cicindela tranquebarica,Cicindela repanda
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/repanda/6c4630f3-6aee-4822-a6f3-f63956799143.png,Cicindela repanda,Ellipsoptera macra,Cicindela hirticollis,Cicindela repanda,Cicindela hirticollis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Scarites/subterraneus/2d242642-d4bc-4a31-aa3e-555da85efc55.png,Scarites subterraneus,Amara apricaria,Pterostichus sculptus,Dyschirius abbreviatus,Anisodactylus binotatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Stenolophus/infuscatus/6d24095f-e9bb-4647-9c93-41f5979fb3cc.png,Stenolophus infuscatus,Stenolophus infuscatus,Stenolophus lecontei,Selenophorus palliatus,Stenolophus lecontei
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Discoderus/aequalis/2532919c-fae6-4377-a861-b225cd02e1f7.png,Discoderus aequalis,Anisodactylus opaculus,Anisodactylus opaculus,Anisodactylus opaculus,Scarites subterraneus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Bembidion/semicinctum/061e6d5b-ecc1-437d-ae9f-2d50f6241a14.png,Bembidion semicinctum,Lebia tricolor,Leptotrachelus dorsalis,Apenes lucidula,Leptotrachelus dorsalis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calleida/planulata/2890cbf7-b173-4570-aec0-dfbdfccafd18.png,Calleida planulata,Anisodactylus agricola,Platynus angustatus,Calleida fimbriata,Dicaelus teter
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/fulgida/b2f63a37-e129-4b43-860a-1e8864d6c658.png,Cicindela fulgida,Cicindelidia highlandensis,Eunota severa,Cicindelidia highlandensis,Cicindela lengi
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Stomis/pumicatus/d118995e-a106-4ee1-996c-466543c94029.png,Stomis pumicatus,Cicindela limbalis,Harpalus pensylvanicus,Bembidion inaequale,Oxycrepis saphyrina
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Eunota/pamphila/cef43f87-41e1-4322-8e83-1fa22d332a85.png,Eunota pamphila,Eunota pamphila,Ellipsoptera nevadica,Eunota pamphila,Ellipsoptera nevadica
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Pseudomorpha/alleni/45fc15cb-fdd5-4ae4-a695-9becfc1fe846.png,Pseudomorpha alleni,Harpalus caliginosus,Harpalus amputatus,Bembidion nigripes,Gastrellarius honestus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Clivina/dentipes/086f11c9-1623-43b7-a72a-485217509b04.png,Clivina dentipes,Paraclivina bipustulata,Lebia viridis,Bembidion rapidum,Loricera pilicornis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Brachinus/medius/be7e423c-11e9-430a-9fe9-a3897172dee4.png,Brachinus medius,Brachinus fulminatus,Brachinus fulminatus,Brachinus cyanipennis,Brachinus vulcanoides
