ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_SVMLinear,Pred_SVMPolynomial,Pred_SVMRadialBasis,Pred_NearestNeighbor,Pred_RandomForest,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000033653.jpg/ab54f9a8-c595-4bec-8bb9-5495ef2f974c_371a430b-5aac-44ee-ba97-a53e294574d5.png,Synuchus impunctatus,Discoderus parallelus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Calathus advena,Calathus advena,Synuchus impunctatus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000034567.jpg/1ea3c0bf-1cf6-4ef4-9591-12105fa887e5_cf87102d-02dd-4334-acb2-935636d990cf.png,Agonum punctiforme,Discoderus parallelus,Discoderus parallelus,Discoderus parallelus,Carabus goryi,Calathus advena,Cratacanthus dubius,Calathus advena,Discoderus parallelus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000008980.jpg/30843044-fa19-486c-be30-ccca8dab873e_174c647e-736c-452f-9257-e3ddeb9c4a90.png,Pterostichus melanarius,Pterostichus melanarius,Pterostichus melanarius,Pterostichus melanarius,Pterostichus melanarius,Pterostichus melanarius,Pterostichus melanarius,Pterostichus melanarius,Pterostichus melanarius
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000041381.jpg/c2135444-2379-4790-9d50-45643ac64a1f_e52bae37-54b6-4d9f-942f-23b980859d88.png,Calosoma affine,Calosoma affine,Calosoma affine,Calosoma affine,Calosoma affine,Calosoma affine,Calosoma affine,Calosoma affine,Calosoma affine
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000046116.jpg/d09ef1eb-5e3a-46dc-b1c5-029bf6b6011b_14338739-4299-4202-81ec-7173564b3a45.png,Pterostichus lachrymosus,Pterostichus stygicus,Pterostichus lachrymosus,Pterostichus lachrymosus,Pterostichus lachrymosus,Pterostichus lachrymosus,Pterostichus lachrymosus,Pterostichus lachrymosus,Pterostichus lachrymosus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000034537.jpg/d24ff33d-cc3d-46ea-9aea-56e94c21b69e_de8dce36-c17b-4d8b-9fe8-096263792b8b.png,Chlaenius aestivus,Chlaenius aestivus,Chlaenius aestivus,Chlaenius aestivus,Chlaenius aestivus,Chlaenius aestivus,Chlaenius aestivus,Chlaenius aestivus,Chlaenius aestivus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000051603.jpg/ddec2fb2-3351-45ba-8d41-bc19eff7acf3_79dd74c7-f3ec-41b0-a24d-f4eed5cf9e8d.png,Pterostichus restrictus,Pterostichus acutipes acutipes,Pterostichus acutipes acutipes,Pterostichus restrictus,Synuchus impunctatus,Pterostichus restrictus,Pterostichus acutipes acutipes,Synuchus impunctatus,Pterostichus restrictus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000040699.jpg/48330fa4-ee2d-4cd4-9f68-b4c334d3e39d_7d1643cc-751d-4c09-980c-850240260721.png,Synuchus impunctatus,Harpalus paratus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000033638.jpg/1485121b-573a-4bab-ab8c-0f626b3f212a_9661bff8-dd74-4fb2-a122-6f6e1220da0d.png,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000051554.jpg/3d9990e9-8053-459e-95be-6cb0e417511b_ed147dde-b40a-4865-a0e4-b9b27bfc01cc.png,Calathus advena,Synuchus impunctatus,Calathus advena,Calathus advena,Calathus advena,Calathus advena,Calathus advena,Calathus advena,Calathus advena
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000049812.jpg/43ae585e-301c-43be-a7cc-15f61aaf3d2e_b8c3de74-4c4e-41c8-90ce-55f77d76ba4e.png,Cyclotrachelus torvus,Carabus goryi,Cyclotrachelus torvus,Cyclotrachelus torvus,Cyclotrachelus torvus,Cyclotrachelus torvus,Cyclotrachelus torvus,Cyclotrachelus torvus,Cyclotrachelus torvus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000051525.jpg/bb2b5244-ef76-4841-927e-8ce08fce2d0c_4e075399-c3c5-476e-b4cc-c2a7c3853b85.png,Cratacanthus dubius,Euryderus grossus,Cratacanthus dubius,Anisodactylus rusticus,Cratacanthus dubius,Euryderus grossus,Cratacanthus dubius,Euryderus grossus,Cratacanthus dubius
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000046187.jpg/bfcafe02-85bc-4e21-b61f-76297a75630d_c4d876d5-6df9-4c86-928a-bd7d7ba54bbc.png,Pterostichus lachrymosus,Pterostichus protractus,Pterostichus lachrymosus,Pterostichus lachrymosus,Synuchus impunctatus,Pterostichus lachrymosus,Cyclotrachelus torvus,Cyclotrachelus torvus,Pterostichus lachrymosus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000046177.jpg/7e51b13a-3fb0-4fda-b63b-c8d6ceeef01b_8a659a26-05ce-4a6a-ba58-5c327f547016.png,Pterostichus lachrymosus,Pterostichus restrictus,Pterostichus lachrymosus,Pterostichus lachrymosus,Pterostichus lachrymosus,Pterostichus lachrymosus,Pterostichus lachrymosus,Pterostichus lachrymosus,Pterostichus lachrymosus
