ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5873218/d181s0206.jpg,Harpalus rubripes,Harpalus laevipes,Harpalus latus,Harpalus latus,Harpalus rubripes
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4308800/d084s0188.jpg,Bembidion fumigatum,Bembidion fumigatum,Bembidion fumigatum,Bembidion fumigatum,Bembidion fumigatum
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/7708350/d121s0496.jpg,Pterostichus nigrita,Amara aulica,Pterostichus nigrita,Pterostichus nigrita,Pterostichus nigrita
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4988354/d133s0112.jpg,Calathus melanocephalus,Bembidion bruxellense,Calathus melanocephalus,Bembidion atrocaeruleum,Calathus cinctus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4470765/d026s0097.jpg,Carabus violaceus,Carabus violaceus,Carabus violaceus,Carabus violaceus,Carabus violaceus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1035551/d049s0067.jpg,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5872111/d100s0429.jpg,Bembidion lunulatum,Bembidion nigropiceum,Bembidion atrocaeruleum,Bembidion atrocaeruleum,Syntomus obscuroguttatus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4474146/d139s0626.jpg,Oxypselaphus obscurus,Cymindis vaporariorum,Oxypselaphus obscurus,Bembidion decorum,Oxypselaphus obscurus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4475794/d199s0121.jpg,Anthracus consputus,Anthracus consputus,Anthracus consputus,Acupalpus dorsalis,Anthracus consputus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4988484/d153s0307.jpg,Agonum muelleri,Agonum muelleri,Agonum muelleri,Agonum muelleri,Agonum muelleri
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4470801/d015s0080.jpg,Carabus monilis,Carabus monilis,Carabus monilis,Carabus monilis,Carabus monilis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/9346940/d040s0071.jpg,Notiophilus aquaticus,Notiophilus aquaticus,Notiophilus aquaticus,Amara tibialis,Notiophilus aquaticus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1035931/d080s0019.jpg,Bembidion tetracolum,Bembidion fluviatile,Bembidion tetracolum,Bembidion fluviatile,Oxypselaphus obscurus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5873214/d177s0077.jpg,Harpalus attenuatus,Anisodactylus binotatus,Harpalus attenuatus,Agonum emarginatum,Harpalus attenuatus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5755339/d179s0238.jpg,Harpalus latus,Ophonus ardosiacus,Harpalus attenuatus,Ophonus rufibarbis,Harpalus tardus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/8423772/d119s0058.jpg,Pterostichus anthracinus,Agonum versutum,Pterostichus anthracinus,Pterostichus anthracinus,Pterostichus anthracinus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4988354/d133s0492.jpg,Calathus melanocephalus,Calathus cinctus,Calathus melanocephalus,Calathus melanocephalus,Calathus melanocephalus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/8267077/d198s0139.jpg,Acupalpus dorsalis,Acupalpus flavicollis,Acupalpus dorsalis,Bembidion femoratum,Acupalpus dorsalis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1035195/d161s0274.jpg,Amara familiaris,Amara ovata,Amara familiaris,Amara familiaris,Amara familiaris
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1035195/d161s0315.jpg,Amara familiaris,Amara familiaris,Amara familiaris,Amara familiaris,Amara anthobia
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5755079/d146s0031.jpg,Agonum fuliginosum,Notiophilus rufipes,Notiophilus rufipes,Notiophilus biguttatus,Cylindera germanica
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/6097857/d207s0187.jpg,Lebia chlorocephala,Lebia chlorocephala,Lebia chlorocephala,Lebia chlorocephala,Lebia chlorocephala
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4475677/d197s0612.jpg,Acupalpus dubius,Calodromius spilotus,Acupalpus dubius,Acupalpus dubius,Acupalpus dubius
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/6097900/d006s0050.jpg,Cylindera germanica,Cylindera germanica,Cylindera germanica,Cylindera germanica,Cylindera germanica
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1035931/d080s0739.jpg,Bembidion tetracolum,Dicheirotrichus placidus,Bembidion tetracolum,Bembidion tetracolum,Bembidion tetracolum
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5873357/d201s0092.jpg,Chlaenius vestitus,Chlaenius vestitus,Chlaenius vestitus,Chlaenius vestitus,Chlaenius vestitus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/8051076/d033s0094.jpg,Nebria livida,Leistus spinibarbis,Nebria brevicollis,Nebria brevicollis,Nebria brevicollis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5755562/d217s0070.jpg,Polistichus connexus,Polistichus connexus,Polistichus connexus,Polistichus connexus,Polistichus connexus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/9581584/d135s0100.jpg,Calathus mollis,Anthracus consputus,Calathus mollis,Badister bullatus,Leistus terminatus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1036899/d051s0067.jpg,Clivina collaris,Dicheirotrichus placidus,Clivina collaris,Clivina collaris,Clivina collaris
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4473277/d156s0063.jpg,Zabrus tenebrioides,Harpalus dimidiatus,Zabrus tenebrioides,Zabrus tenebrioides,Harpalus dimidiatus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4475140/d189s0520.jpg,Ophonus rufibarbis,Patrobus atrorufus,Ophonus rufibarbis,Calathus rotundicollis,Ophonus rufibarbis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4473319/d047s0204.jpg,Elaphrus cupreus,Elaphrus cupreus,Elaphrus cupreus,Elaphrus cupreus,Elaphrus cupreus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5716409/d054s0416.jpg,Dyschirius impunctipennis,Bembidion illigeri,Dyschirius salinus,Bembidion normannum,Dyschirius salinus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/1036154/d090s0017.jpg,Bembidion guttula,Bembidion guttula,Bembidion guttula,Bembidion lampros,Bembidion guttula
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5755079/d145s0448.jpg,Agonum fuliginosum,Agonum fuliginosum,Agonum fuliginosum,Agonum fuliginosum,Agonum fuliginosum
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/7708350/d121s0341.jpg,Pterostichus nigrita,Pterostichus anthracinus,Pterostichus anthracinus,Pterostichus anthracinus,Pterostichus anthracinus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/9533851/d086s0454.jpg,Bembidion doris,Dicheirotrichus cognatus,Bembidion doris,Bembidion doris,Bembidion doris
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5756010/d205s0238.jpg,Badister dilatatus,Ophonus rufibarbis,Badister dilatatus,Ophonus rufibarbis,Badister dilatatus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/6097865/d072s0307.jpg,Bembidion prasinum,Amara lunicollis,Amara convexior,Harpalus rubripes,Amara convexior
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5755322/d129s0170.jpg,Calathus cinctus,Ophonus rufibarbis,Calathus cinctus,Calathus melanocephalus,Calathus mollis
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4475761/d193s0398.jpg,Dicheirotrichus placidus,Dicheirotrichus placidus,Dicheirotrichus placidus,Dicheirotrichus placidus,Dicheirotrichus placidus
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/7873810/d123s0485.jpg,Pterostichus diligens,Bradycellus ruficollis,Clivina fossor,Pterostichus minor,Clivina fossor
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4308806/d085s0003.jpg,Bembidion minimum,Acupalpus brunnipes,Microlestes maurus,Syntomus obscuroguttatus,Bembidion aeneum
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4472849/d159s0149.jpg,Amara communis,Amara apricaria,Amara communis,Amara communis,Amara convexior
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/7873810/d123s0342.jpg,Pterostichus diligens,Bembidion varium,Pterostichus diligens,Bembidion lampros,Pterostichus diligens
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/4308815/d057s0262.jpg,Broscus cephalotes,Broscus cephalotes,Broscus cephalotes,Broscus cephalotes,Broscus cephalotes
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5872124/d087s0159.jpg,Bembidion articulatum,Dyschirius globosus,Bembidion obtusum,Syntomus obscuroguttatus,Bembidion obtusum
/fs/ess/PAS2136/Rayeed/BritishCarabids/British Carabids/database/5873211/d182s0057.jpg,Harpalus rufipalpis,Harpalus tenebrosus,Harpalus rufipalpis,Amara aulica,Harpalus anxius
