ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Blemus/discus/b4c46fb4-5a5c-442d-97ac-75fc5a0633de.png,Blemus discus,Trechus obtusus,Bembidion femoratum,Bembidion femoratum,Bembidion quadrimaculatum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Notiophilus/biguttatus/c32b68dd-d46f-4efb-b301-485aa9ddcdb3.png,Notiophilus biguttatus,Bembidion tetracolum,Bembidion semipunctatum,Bembidion tetracolum,Bembidion semipunctatum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Harpalus/rubripes/c08a1d0a-1b79-40b7-a14c-a1423d08c1a9.png,Harpalus rubripes,Paranchus albipes,Harpalus rubripes,Harpalus rubripes,Harpalus rubripes
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Asaphidion/curtum/f8314fd6-e586-4880-b486-eedd944db716.png,Asaphidion curtum,Asaphidion curtum,Asaphidion curtum,Bembidion quadrimaculatum,Asaphidion curtum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Asaphidion/curtum/44493a6c-5d01-4a7f-8063-240ec72584ce.png,Asaphidion curtum,Asaphidion curtum,Asaphidion curtum,Agonum thoreyi,Asaphidion curtum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Clivina/collaris/54e2eebc-805a-4ec8-b265-2a4f9f0b990d.png,Clivina collaris,Clivina fossor,Clivina collaris,Calathus fuscipes,Ophonus puncticeps
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Notiophilus/biguttatus/85f654b2-3248-4abc-8ba1-5ede31f8eace.png,Notiophilus biguttatus,Harpalus affinis,Leistus ferrugineus,Leistus ferrugineus,Leistus ferrugineus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Notiophilus/biguttatus/0e53f089-e30b-4f1e-a4ff-3f17d354ce68.png,Notiophilus biguttatus,Trechus obtusus,Notiophilus biguttatus,Notiophilus biguttatus,Notiophilus biguttatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Notiophilus/biguttatus/fd36e476-e578-49d6-a104-acd359120292.png,Notiophilus biguttatus,Trechus obtusus,Notiophilus biguttatus,Notiophilus biguttatus,Notiophilus biguttatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Asaphidion/curtum/ec933790-81e9-46f6-8062-d6b3907472d8.png,Asaphidion curtum,Trechus obtusus,Asaphidion curtum,Bembidion femoratum,Asaphidion curtum
