ImageFilePath,Genus,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/7e443d69-bdcb-4c50-bb56-a1d9142577a6_4e7238e8-aec2-4975-98ad-6e56cc5176c2.png,Chlaenius,Bembidion,Elaphropus,Amara,Chlaenius
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/60aac143-086c-43a6-b506-0a366bba545d_db0890b5-5dfc-408b-b734-4df692166c84.png,Chlaenius,Bembidion,Calathus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/e6724668-8b07-43f2-9942-45fb3083fe35_cecdfcdb-3efc-489b-ae47-d6f6a0c8961f.png,Chlaenius,Calathus,Elaphropus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/260a517b-7144-405f-b653-2d52d79b2623_cc813dc9-7cd2-424a-8e8e-f4331a4b9a95.png,Chlaenius,Calathus,Carabus,Pterostichus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/3b611aac-a4ce-4de4-83c2-9fac918e49e8_b7004f75-4211-4531-b708-a99787b82204.png,Chlaenius,Bembidion,Carabus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/fdb2159b-634e-4bd5-af3e-31305a5726e6_bd63291d-eb06-4f56-af8d-e89c8e201d70.png,Chlaenius,Calathus,Calathus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/8e2abcf3-808c-4590-ba31-951974798d8a_1ec45ced-39bf-4718-85b1-dc05574ad71c.png,Chlaenius,Calathus,Calathus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/ada18301-841d-4233-a3b5-6a6faee974ad_77d59032-9023-4386-941d-02adc6401df1.png,Chlaenius,Calathus,Elaphropus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/34943840-47d0-44d9-8a25-66c1f3db90f4_b3109407-7c46-4654-993e-2258ddf5d2a5.png,Chlaenius,Bembidion,Carabus,Bembidion,Carabus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/416b06b7-0d4f-4a03-b56d-0007390d9c8f_68ee2676-de43-43ae-ac10-62e4bfd7d662.png,Chlaenius,Calathus,Calathus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/290e48f1-3ac1-4622-8cc5-559ae444f233_81a42bdf-b5cd-4e98-a5d7-7818eaf56d8f.png,Chlaenius,Calathus,Elaphropus,Pterostichus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/ae821226-23ca-476b-aabb-ddc4e8d862fe_3e26d0aa-b3e6-40b8-9c22-904f13d2c8e5.png,Chlaenius,Calathus,Calathus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/846bb8f8-7a32-475e-a9b2-a643f5c6e866_27dc7457-9607-4cd6-8398-f3ad031a6bd1.png,Chlaenius,Calathus,Elaphropus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/28749313-96ae-41d1-9436-56836a50f36c_107713ab-4032-44b0-bdf4-1b778382d630.png,Chlaenius,Bembidion,Elaphropus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/2fcb04e2-62fe-4607-974b-8f8fed38583a_4859678e-276f-4a67-8776-8ad7379a7e0b.png,Chlaenius,Bembidion,Elaphropus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/4d7a3e39-e765-4546-a0ad-163986339c5b_bc60b58f-f7f6-4a1e-9756-e03b40a335a9.png,Chlaenius,Calathus,Calathus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/e608a0ba-e7a8-432a-bdb6-6a4d5f25eb37_f01692af-7308-4ce8-aa93-c125fd91fb9a.png,Chlaenius,Elaphropus,Calathus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/f5ac5ac1-845b-430f-b960-b0bde8cb792c_9abd645a-26c1-4e24-9e8b-17ce83b444d7.png,Chlaenius,Calathus,Elaphropus,Harpalus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/245dc6ad-913c-445a-99b0-b7c01d003954_e2af3fde-8919-46c5-abca-0d617c8da5dd.png,Chlaenius,Bembidion,Elaphropus,Pterostichus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/bf6b1083-c08a-4700-9d05-d38ede61ba8d_d21dfe6d-d913-4b1f-9497-08de8386fdc3.png,Chlaenius,Bembidion,Syntomus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/51f8d6ad-c468-45d4-814a-74622663f48b_d2e76505-74ba-41c3-9c2c-36e2718b1463.png,Chlaenius,Bembidion,Carabus,Calathus,Carabus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/90b64796-a8f5-4a36-9d09-e60c5c620fba_0442244b-462a-4f2a-a152-97353d2522c1.png,Chlaenius,Calathus,Calathus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/9c834047-4651-451a-b32b-8c0409b87172_db8152e7-8368-411f-85a8-bec22436ce10.png,Chlaenius,Bembidion,Calathus,Chlaenius,Chlaenius
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/218392a7-6891-400c-b8b2-2641d7e428f5_e438ba85-578d-4383-bbb2-7706de049895.png,Chlaenius,Elaphropus,Calathus,Harpalus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/c0a7ae8f-e4af-4af5-b325-20b79d09275c_e6b730f6-8849-4f52-a146-67af7f20d3aa.png,Chlaenius,Calathus,Elaphropus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/381212f0-076a-4a35-94a3-29e3d86eff7d_f145ad25-da6a-4961-9ece-70fa1bb47896.png,Chlaenius,Amara,Elaphropus,Calathus,Amara
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/2954622b-c945-4d30-9d09-5a94d276ae6b_57c881c2-327c-4a9c-b430-c2aa724e82d8.png,Chlaenius,Elaphropus,Elaphropus,Bembidion,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/4483b8ef-e84d-4f4f-b825-2f3655034430_b7c16c4e-46aa-4e78-adf6-4b9350beeadd.png,Chlaenius,Calathus,Calathus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/4c07992e-f1af-4cf8-a05f-58abc4da0448_c5749cac-cfe1-409e-b1b1-24e3b4983f76.png,Chlaenius,Bembidion,Elaphropus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/4df35a65-cde8-4c9e-ada7-57a2df582d10_7d1b745e-8c1a-4bc2-b3c0-fb75cfc56480.png,Chlaenius,Bembidion,Calathus,Calathus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/ae9476c9-4d34-4910-bb4c-f63fb600bd1e_c27c2cf7-4e7c-4ab9-a855-1891c69c22c9.png,Chlaenius,Calathus,Carabus,Chlaenius,Chlaenius
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/744a8bf7-f258-4e8b-af42-97b27f70234d_7608c04a-5530-4569-8fb4-5966845a0a19.png,Chlaenius,Bembidion,Carabus,Poecilus,Chlaenius
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/a2089079-b097-4ce7-a17b-152f6e0dbdcf_4a05bd5f-dfcc-41ce-9040-d0593f8c8b4e.png,Chlaenius,Bembidion,Calathus,Bembidion,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000001831.jpg/a0b26d3e-1461-42b6-87eb-d5702e303c3e_9481f772-9e47-43f2-bd94-5ac8b8baf873.png,Chlaenius,Amara,Calathus,Pterostichus,Calathus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000008914.jpg/48c9746c-1202-434b-974a-d52902346852_6ab84e25-cfed-421d-accd-5f3cffb5254a.png,Pterostichus,Pterostichus,Syntomus,Pterostichus,Pterostichus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BeetlePalooza/individual_images/A00000008914.jpg/bd8ab69d-2a12-461d-be90-a86878f425b3_c17e3d3d-e6ee-4045-8bef-255e09d1ed64.png,Pterostichus,Bembidion,Pterostichus,Pterostichus,Pterostichus
