ImageFilePath,Genus,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/a529fdc0-4232-4e82-97ac-c7fa5575930a.png,Cicindela,Syntomus,Agonum,Carabus,Cicindela
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/95d7b4c4-d013-4086-b2be-af96caa35013.png,Cicindela,Agonum,Agonum,Chlaenius,Cicindela
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/a7cf028b-9720-4037-b941-ad4a7d22e693.png,Cicindela,Cicindela,Poecilus,Tetracha,Cicindela
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/18b0349d-7543-4721-8b3e-f97a2ee8d542.png,Cicindela,Agonum,Poecilus,Agonum,Cyclotrachelus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/217def43-076b-4bb6-9373-f598b46c0593.png,Calosoma,Carabus,Carabus,Carabus,Carabus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Tetracha/carolina/525cda3c-7a7f-46e0-93c2-77e8f0d833ff.png,Tetracha,Syntomus,Poecilus,Tetracha,Carabus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/sayi/919ee508-51be-4aba-be89-7e99b7584eb9.png,Calosoma,Chlaenius,Carabus,Carabus,Carabus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/0b177083-254a-4d09-87bf-caa840e2d1bb.png,Cicindela,Agonum,Agonum,Cicindela,Carabus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/49ea547b-fe2c-45be-b888-05c68d87cb8b.png,Calosoma,Carabus,Pasimachus,Carabus,Carabus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Sphaeroderus/schaumii/c4823832-ccd3-47f1-8007-fcd3042fcc90.png,Sphaeroderus,Chlaenius,Carabus,Chlaenius,Carabus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/47492182-0ce1-4e69-ab8a-f9376b009508.png,Calosoma,Harpalus,Chlaenius,Cyclotrachelus,Cyclotrachelus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/069f4cda-d6f5-46c8-a91f-88daf473e1c4.png,Calosoma,Carabus,Chlaenius,Cyclotrachelus,Carabus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/a82555b9-2df4-49c4-bc65-df8cfc66e6c3.png,Calosoma,Carabus,Carabus,Carabus,Carabus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/bebd87bd-6087-446e-8c16-030fd1da2c77.png,Calosoma,Pasimachus,Pasimachus,Carabus,Pasimachus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/tricolor/22fafb75-7635-44d8-bc0c-46437faae7b3.png,Chlaenius,Amara,Chlaenius,Carabus,Carabus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/93bf7ce8-6cb3-41b2-9b1a-0496fe134b6e.png,Cicindela,Agonum,Poecilus,Tetracha,Pasimachus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/aestivus/979442fe-f8cd-49fa-af14-7cbf4a976889.png,Chlaenius,Chlaenius,Chlaenius,Carabus,Chlaenius
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/aestivus/4339f9a4-deeb-4b3a-bd49-4fa1ba47b1fe.png,Chlaenius,Harpalus,Chlaenius,Carabus,Chlaenius
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/aestivus/0473289f-06e9-46f7-9cff-0d49205e3661.png,Chlaenius,Agonum,Chlaenius,Calathus,Carabus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/ddebadfc-95ab-4c1a-b243-b4961f8cb5ec.png,Cicindela,Syntomus,Cicindela,Cicindela,Cicindela
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Tetracha/carolina/a6a91ec4-dd85-4165-801f-8ca4108c548d.png,Tetracha,Syntomus,Chlaenius,Tetracha,Carabus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/58b8ff3d-8872-4e34-84f9-db7ff3e4127b.png,Calosoma,Carabus,Carabus,Carabus,Carabus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/scrutator/5f88c486-5b7d-4231-a520-271381c906b2.png,Calosoma,Agonum,Poecilus,Agonum,Poecilus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/tricolor/0a5bb33e-9506-48dd-8a01-1c6b16de0cf0.png,Chlaenius,Harpalus,Chlaenius,Cymindis,Chlaenius
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Harpalus/pensylvanicus/42b4c119-b550-4a71-ab14-a6092406b8ac.png,Harpalus,Harpalus,Harpalus,Carabus,Harpalus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Calosoma/sayi/4db4c651-ab4c-4641-81a4-626d1be9e647.png,Calosoma,Carabus,Carabus,Carabus,Carabus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/4b28e500-2970-4540-b6b6-d5bceadcc6e9.png,Cicindela,Omus,Omus,Carabus,Chlaenius
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Tetracha/carolina/e7e34087-2dd3-4608-a14d-24d602aad19b.png,Tetracha,Syntomus,Carabus,Tetracha,Carabus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/2aadacb0-a302-4bb5-8522-61fb55e2b07f.png,Cicindela,Syntomus,Cicindela,Carabus,Cicindela
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Tetracha/virginica/cb3ae613-f34b-4549-a3c5-330cfeaa20cb.png,Tetracha,Selenophorus,Carabus,Tetracha,Tetracha
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Cicindela/sexguttata/80d1167a-ed1c-4b2a-b099-0d04f364f697.png,Cicindela,Cicindela,Agonum,Cicindela,Cicindela
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Tetracha/virginica/5b4f359c-b088-4c75-8215-4948a52f7081.png,Tetracha,Agonum,Poecilus,Tetracha,Carabus
