ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Tetracha/carolina/525cda3c-7a7f-46e0-93c2-77e8f0d833ff.png,Tetracha carolina,Syntomus americanus,Tetracha carolina,Tetracha carolina,Tetracha carolina
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/aestivus/979442fe-f8cd-49fa-af14-7cbf4a976889.png,Chlaenius aestivus,Syntomus americanus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/aestivus/4339f9a4-deeb-4b3a-bd49-4fa1ba47b1fe.png,Chlaenius aestivus,Syntomus americanus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Chlaenius/aestivus/0473289f-06e9-46f7-9cff-0d49205e3661.png,Chlaenius aestivus,Syntomus americanus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Tetracha/carolina/a6a91ec4-dd85-4165-801f-8ca4108c548d.png,Tetracha carolina,Carabus nemoralis,Carabus nemoralis,Carabus nemoralis,Tetracha carolina
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Harpalus/pensylvanicus/42b4c119-b550-4a71-ab14-a6092406b8ac.png,Harpalus pensylvanicus,Harpalus pensylvanicus,Harpalus paratus,Harpalus pensylvanicus,Synuchus impunctatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Tetracha/carolina/e7e34087-2dd3-4608-a14d-24d602aad19b.png,Tetracha carolina,Syntomus americanus,Tetracha carolina,Tetracha carolina,Tetracha carolina
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Harpalus/pensylvanicus/0facd5b1-bd78-4fb5-99c0-db789de6f298.png,Harpalus pensylvanicus,Harpalus paratus,Harpalus paratus,Synuchus impunctatus,Synuchus impunctatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Scarites/subterraneus/099eee00-6d02-4260-98e8-bec77d11aaba.png,Scarites subterraneus,Harpalus pensylvanicus,Pterostichus coracinus,Harpalus pensylvanicus,Poecilus lucublandus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/Insect-1M/Images/Arthropoda/Insecta/Coleoptera/Carabidae/Poecilus/lucublandus/8d3ef811-b212-4378-8209-88c8aaae3a30.png,Poecilus lucublandus,Carabus nemoralis,Pterostichus tristis,Synuchus impunctatus,Synuchus impunctatus
