ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5757207/d211s0257.jpg,Dromius agilis,Calathus cinctus,Amara spreta,Agonum gracile,Amara spreta
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755986/d194s0544.jpg,Bradycellus ruficollis,Bembidion nigricorne,Bembidion doris,Stenolophus teutonus,Elaphropus bistriatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/8300237/d083s0406.jpg,Bembidion schueppelii,Bembidion normannum,Bembidion normannum,Bembidion nigropiceum,Bembidion nigropiceum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5756374/d102s0214.jpg,Pogonus chalceus,Bembidion properans,Badister dilatatus,Agonum piceum,Notiophilus aquaticus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/8186956/d116s0216.jpg,Pterostichus adstrictus,Pterostichus anthracinus,Loricera pilicornis,Agonum emarginatum,Pterostichus quadrifoveolatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035542/d048s0015.jpg,Elaphrus lapponicus,Elaphrus lapponicus,Elaphrus lapponicus,Cicindela sylvatica,Elaphrus lapponicus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755954/d196s0116.jpg,Stenolophus skrimshiranus,Clivina fossor,Clivina fossor,Agonum fuliginosum,Clivina fossor
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/8056040/d016s0064.jpg,Carabus nemoralis,Carabus nemoralis,Carabus nemoralis,Carabus nemoralis,Carabus nemoralis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755339/d179s0293.jpg,Harpalus latus,Harpalus affinis,Stenolophus mixtus,Amara consularis,Calathus ambiguus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755986/d194s0196.jpg,Bradycellus ruficollis,Bembidion clarkei,Bembidion gilvipes,Acupalpus brunnipes,Bembidion obtusum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7639821/d070s0595.jpg,Bembidion dentellum,Bembidion varium,Amara lucida,Amara curta,Amara familiaris
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755044/d152s0015.jpg,Agonum ericeti,Agonum ericeti,Agonum ericeti,Agonum micans,Agonum ericeti
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5754974/d142s0456.jpg,Anchomenus dorsalis,Anchomenus dorsalis,Anchomenus dorsalis,Anchomenus dorsalis,Anchomenus dorsalis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755075/d155s0270.jpg,Agonum viduum,Agonum versutum,Calathus rotundicollis,Agonum emarginatum,Pterostichus gracilis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4471235/d206s0152.jpg,Panagaeus bipustulatus,Bembidion quadrimaculatum,Bembidion properans,Panagaeus bipustulatus,Bembidion illigeri
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5873271/d214s0223.jpg,Microlestes maurus,Bembidion obliquum,Syntomus obscuroguttatus,Amara lucida,Bembidion aeneum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097924/d184s0050.jpg,Harpalus tardus,Synuchus vivalis,Synuchus vivalis,Amara consularis,Amara consularis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4475157/d186s0277.jpg,Ophonus laticollis,Amara aulica,Ophonus laticollis,Harpalus dimidiatus,Ophonus laticollis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035864/d174s0397.jpg,Harpalus affinis,Harpalus smaragdinus,Harpalus affinis,Harpalus affinis,Harpalus affinis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5873218/d181s0010.jpg,Harpalus rubripes,Harpalus rubripes,Harpalus rubripes,Harpalus smaragdinus,Harpalus rubripes
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4474998/d190s0065.jpg,Anisodactylus nemorivagus,Anisodactylus nemorivagus,Anisodactylus nemorivagus,Anisodactylus nemorivagus,Anisodactylus nemorivagus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/8051076/d033s0026.jpg,Nebria livida,Laemostenus terricola,Nebria rufescens,Laemostenus terricola,Pterostichus niger
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5873220/d176s0004.jpg,Harpalus anxius,Harpalus pumilus,Harpalus servus,Acupalpus brunnipes,Harpalus pumilus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5757192/d211s0363.jpg,Dromius angustus,Dromius agilis,Dromius angustus,Calathus melanocephalus,Dromius agilis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1036893/d051s0627.jpg,Clivina fossor,Miscodera arctica,Clivina fossor,Bembidion doris,Miscodera arctica
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4988484/d154s0035.jpg,Agonum muelleri,Bembidion dentellum,Bembidion obliquum,Agonum piceum,Notiophilus palustris
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7613168/d109s0046.jpg,Pterostichus aethiops,Pterostichus cristatus,Pterostichus gracilis,Pterostichus nigrita,Pterostichus nigrita
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097867/d101s0038.jpg,Bembidion mannerheimii,Bembidion lunulatum,Bembidion obtusum,Amara curta,Bembidion assimile
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5757304/d208s0007.jpg,Demetrias imperialis,Aepopsis robinii,Aepopsis robinii,Demetrias atricapillus,Aepopsis robinii
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097923/d184s0164.jpg,Harpalus smaragdinus,Harpalus rubripes,Harpalus latus,Harpalus rubripes,Harpalus smaragdinus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4308815/d057s0130.jpg,Broscus cephalotes,Broscus cephalotes,Broscus cephalotes,Broscus cephalotes,Broscus cephalotes
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4480502/d003s0047.jpg,Cicindela hybrida,Cicindela hybrida,Cicindela hybrida,Cicindela hybrida,Cicindela hybrida
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4478699/d064s0069.jpg,Asaphidion curtum,Asaphidion curtum,Bembidion laterale,Bembidion fumigatum,Asaphidion flavipes
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1036203/d067s0273.jpg,Bembidion properans,Dyschirius politus,Dyschirius politus,Dyschirius politus,Bembidion properans
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1036796/d064s0268.jpg,Asaphidion flavipes,Asaphidion pallipes,Asaphidion flavipes,Asaphidion curtum,Asaphidion pallipes
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4471269/d112s0009.jpg,Pedius longicollis,Bembidion geniculatum,Harpalus latus,Agonum micans,Pogonus littoralis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755060/d151s0106.jpg,Agonum emarginatum,Agonum emarginatum,Agonum emarginatum,Agonum emarginatum,Agonum emarginatum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5872954/d009s0051.jpg,Calosoma inquisitor,Calosoma inquisitor,Calosoma inquisitor,Calosoma inquisitor,Calosoma inquisitor
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4472849/d159s0345.jpg,Amara communis,Amara communis,Amara communis,Amara aenea,Amara familiaris
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4479052/d082s0255.jpg,Bembidion illigeri,Bembidion illigeri,Bembidion illigeri,Acupalpus meridianus,Bembidion illigeri
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1036128/d086s0180.jpg,Bembidion quadrimaculatum,Notiophilus biguttatus,Bembidion biguttatum,Badister sodalis,Acupalpus meridianus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7917481/d109s0089.jpg,Pterostichus cristatus,Laemostenus terricola,Pterostichus cristatus,Harpalus attenuatus,Laemostenus complanatus
