ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5753612/d029s0045.jpg,Cychrus caraboides,Cychrus caraboides,Cychrus caraboides,Cychrus caraboides,Cychrus caraboides
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755079/d145s0205.jpg,Agonum fuliginosum,Agonum emarginatum,Agonum fuliginosum,Agonum fuliginosum,Agonum micans
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4473795/d036s0076.jpg,Nebria salina,Agonum emarginatum,Nebria brevicollis,Nebria brevicollis,Nebria brevicollis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755954/d196s0116.jpg,Stenolophus skrimshiranus,Platyderus depressus,Ophonus rupicola,Agonum thoreyi,Platyderus depressus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4472897/d160s0084.jpg,Amara convexior,Amara lunicollis,Amara lunicollis,Amara similata,Amara ovata
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5872829/d011s0087.jpg,Carabus arvensis,Carabus granulatus,Carabus clatratus,Carabus arvensis,Carabus clatratus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035290/d050s0382.jpg,Loricera pilicornis,Pterostichus strenuus,Pterostichus strenuus,Pterostichus strenuus,Pterostichus strenuus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097896/d043s0218.jpg,Notiophilus germinyi,Notiophilus biguttatus,Notiophilus biguttatus,Notiophilus biguttatus,Notiophilus biguttatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1037319/d060s0020.jpg,Trechus obtusus,Acupalpus meridianus,Bembidion obtusum,Bembidion assimile,Trechus quadristriatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035290/d050s0371.jpg,Loricera pilicornis,Bradycellus ruficollis,Agonum muelleri,Bembidion deletum,Bembidion biguttatum
