ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4474861/d007s0150.jpg,Brachinus crepitans,Brachinus crepitans,Brachinus crepitans,Brachinus crepitans,Brachinus crepitans
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097878/d076s0560.jpg,Bembidion deletum,Bembidion fluviatile,Bembidion deletum,Bembidion stephensii,Bembidion deletum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5757310/d208s0612.jpg,Demetrias atricapillus,Demetrias monostigma,Epaphius secalis,Demetrias atricapillus,Paradromius linearis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/8307815/d116s0046.jpg,Pterostichus quadrifoveolatus,Patrobus septentrionis,Pterostichus adstrictus,Pelophila borealis,Poecilus lepidus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/8139233/d063s0491.jpg,Elaphropus walkerianus,Elaphropus bistriatus,Tachys scutellaris,Elaphropus walkerianus,Elaphropus walkerianus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5872124/d087s0256.jpg,Bembidion articulatum,Bembidion articulatum,Bradycellus harpalinus,Acupalpus brunnipes,Trechus obtusus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4478695/d064s0540.jpg,Asaphidion pallipes,Asaphidion pallipes,Asaphidion pallipes,Asaphidion pallipes,Elaphrus riparius
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755203/d137s0051.jpg,Laemostenus complanatus,Anisodactylus binotatus,Laemostenus complanatus,Pterostichus cristatus,Laemostenus complanatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5756018/d204s0069.jpg,Badister bullatus,Bembidion iricolor,Badister bullatus,Acupalpus meridianus,Badister unipustulatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4472929/d167s0280.jpg,Amara infima,Amara lucida,Amara infima,Amara infima,Amara familiaris
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035194/d170s0205.jpg,Amara aulica,Amara aulica,Amara aulica,Amara aulica,Pterostichus melanarius
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035929/d079s0389.jpg,Bembidion testaceum,Bembidion fluviatile,Bembidion testaceum,Bembidion fluviatile,Bembidion testaceum
