ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097869/d089s0503.jpg,Bembidion biguttatum,Dyschirius salinus,Bembidion biguttatum,Bembidion aeneum,Bembidion schueppelii
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035366/d103s0091.jpg,Patrobus septentrionis,Patrobus septentrionis,Patrobus septentrionis,Patrobus septentrionis,Patrobus septentrionis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4472897/d160s0120.jpg,Amara convexior,Amara lunicollis,Amara lunicollis,Amara lunicollis,Amara communis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755060/d151s0172.jpg,Agonum emarginatum,Agonum emarginatum,Agonum emarginatum,Agonum gracile,Agonum emarginatum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/9444427/d169s0161.jpg,Amara fulva,Amara fulva,Amara fulva,Amara fulva,Amara fulva
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5756374/d102s0179.jpg,Pogonus chalceus,Notiophilus quadripunctatus,Asaphidion pallipes,Asaphidion pallipes,Bembidion fumigatum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/8068514/d183s0062.jpg,Harpalus servus,Calathus melanocephalus,Calathus mollis,Dicheirotrichus gustavii,Bembidion testaceum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4308807/d072s0288.jpg,Bembidion ephippium,Aepopsis robinii,Aepus marinus,Aepopsis robinii,Aepopsis robinii
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1036154/d090s0357.jpg,Bembidion guttula,Bembidion minimum,Bembidion minimum,Bembidion gilvipes,Bembidion obtusum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4988484/d153s0019.jpg,Agonum muelleri,Nebria salina,Agonum muelleri,Amara aenea,Amara plebeja
