ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035578/d035s0189.jpg,Nebria brevicollis,Laemostenus complanatus,Nebria brevicollis,Nebria rufescens,Nebria brevicollis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5023058/d044s0168.jpg,Notiophilus rufipes,Notiophilus rufipes,Notiophilus rufipes,Notiophilus rufipes,Notiophilus rufipes
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1036154/d090s0250.jpg,Bembidion guttula,Ocys quinquestriatus,Bembidion obtusum,Bembidion guttula,Acupalpus brunnipes
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4308790/d192s0234.jpg,Dicheirotrichus obsoletus,Dicheirotrichus obsoletus,Dicheirotrichus obsoletus,Platyderus depressus,Dicheirotrichus obsoletus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7840196/d120s0187.jpg,Pterostichus minor,Pterostichus minor,Stomis pumicatus,Loricera pilicornis,Stomis pumicatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4475794/d199s0070.jpg,Anthracus consputus,Anthracus consputus,Anthracus consputus,Acupalpus dorsalis,Anthracus consputus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035290/d050s0447.jpg,Loricera pilicornis,Calathus ambiguus,Loricera pilicornis,Agonum fuliginosum,Loricera pilicornis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4473617/d037s0316.jpg,Nebria rufescens,Platynus assimilis,Nebria brevicollis,Nebria rufescens,Nebria rufescens
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5873271/d214s0219.jpg,Microlestes maurus,Microlestes maurus,Microlestes maurus,Bembidion lampros,Microlestes maurus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4475677/d197s0567.jpg,Acupalpus dubius,Bradycellus harpalinus,Acupalpus dubius,Bradycellus harpalinus,Dicheirotrichus cognatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/9268484/d171s0093.jpg,Amara convexiusculus,Pterostichus macer,Amara convexiusculus,Amara convexiusculus,Amara convexiusculus
