ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035167/d162s0108.jpg,Amara lunicollis,Amara convexior,Amara convexior,Amara consularis,Amara lunicollis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7508714/d124s0055.jpg,Pterostichus strenuus,Bembidion properans,Bembidion lunulatum,Pterostichus diligens,Bembidion aeneum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4480302/d210s0357.jpg,Paradromius linearis,Paradromius linearis,Paradromius linearis,Paradromius linearis,Leistus terminatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5757211/d211s0071.jpg,Dromius meridionalis,Acupalpus dorsalis,Paradromius linearis,Anthracus consputus,Badister bullatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035290/d050s0035.jpg,Loricera pilicornis,Paranchus albipes,Loricera pilicornis,Agonum fuliginosum,Loricera pilicornis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097896/d043s0234.jpg,Notiophilus germinyi,Bradycellus ruficollis,Notiophilus biguttatus,Notiophilus biguttatus,Notiophilus biguttatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5873357/d201s0128.jpg,Chlaenius vestitus,Amara curta,Chlaenius vestitus,Chlaenius vestitus,Chlaenius vestitus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5873271/d214s0295.jpg,Microlestes maurus,Microlestes maurus,Microlestes maurus,Microlestes maurus,Microlestes maurus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/8056040/d017s0009.jpg,Carabus nemoralis,Carabus nemoralis,Carabus nemoralis,Carabus nemoralis,Carabus nemoralis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4472897/d160s0084.jpg,Amara convexior,Amara similata,Amara convexior,Pterostichus vernalis,Amara familiaris
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4478699/d064s0070.jpg,Asaphidion curtum,Acupalpus dubius,Trechus quadristriatus,Bembidion minimum,Perileptus areolatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4475099/d186s0227.jpg,Ophonus ardosiacus,Harpalus rufipes,Ophonus ardosiacus,Ophonus ardosiacus,Ophonus ardosiacus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1036893/d051s0212.jpg,Clivina fossor,Pterostichus diligens,Pterostichus strenuus,Pterostichus diligens,Clivina fossor
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4472858/d160s0123.jpg,Amara eurynota,Amara consularis,Amara similata,Amara similata,Amara similata
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5753697/d106s0308.jpg,Poecilus cupreus,Poecilus cupreus,Poecilus cupreus,Poecilus cupreus,Chlaenius nigricornis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4308806/d085s0386.jpg,Bembidion minimum,Acupalpus meridianus,Bembidion minimum,Bembidion minimum,Bembidion minimum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7416497/d113s0049.jpg,Pterostichus macer,Pterostichus rhaeticus,Pterostichus macer,Platynus assimilis,Pterostichus macer
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7856746/d117s0177.jpg,Pterostichus melanarius,Harpalus rubripes,Pterostichus melanarius,Pterostichus melanarius,Anisodactylus binotatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7508714/d124s0203.jpg,Pterostichus strenuus,Amara ovata,Pterostichus strenuus,Harpalus rubripes,Pterostichus diligens
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5872109/d065s0042.jpg,Ocys harpaloides,Sinechostictus stomoides,Bembidion iricolor,Amara anthobia,Ocys quinquestriatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5872147/d083s0166.jpg,Bembidion gilvipes,Bembidion mannerheimii,Bembidion biguttatum,Bembidion gilvipes,Bembidion gilvipes
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1036917/d190s0158.jpg,Anisodactylus binotatus,Anisodactylus binotatus,Anisodactylus binotatus,Anisodactylus binotatus,Anisodactylus binotatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5872129/d076s0461.jpg,Bembidion decorum,Ophonus rufibarbis,Dicheirotrichus gustavii,Pterostichus strenuus,Bembidion decorum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1037319/d060s0128.jpg,Trechus obtusus,Bembidion fumigatum,Trechus obtusus,Bembidion mannerheimii,Trechus obtusus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1036192/d088s0179.jpg,Bembidion obtusum,Bembidion lunulatum,Bembidion lunulatum,Bembidion lunulatum,Bembidion biguttatum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097886/d078s0285.jpg,Bembidion lunatum,Agonum piceum,Bembidion lunatum,Bembidion lunulatum,Bembidion iricolor
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4308801/d078s0061.jpg,Bembidion maritimum,Bembidion bruxellense,Bembidion bualei,Bembidion saxatile,Bembidion maritimum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097890/d079s0116.jpg,Bembidion stephensii,Bembidion biguttatum,Ocys harpaloides,Bembidion monticola,Bembidion deletum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4470539/d010s0018.jpg,Carabus clatratus,Carabus clatratus,Carabus clatratus,Carabus clatratus,Carabus clatratus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5023058/d044s0052.jpg,Notiophilus rufipes,Bembidion semipunctatum,Bembidion properans,Agonum gracile,Notiophilus rufipes
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/9314786/d114s0181.jpg,Pterostichus niger,Abax parallelepipedus,Pterostichus niger,Pterostichus melanarius,Pterostichus niger
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035578/d035s0111.jpg,Nebria brevicollis,Pterostichus cristatus,Nebria brevicollis,Nebria brevicollis,Nebria brevicollis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035195/d161s0451.jpg,Amara familiaris,Amara bifrons,Amara familiaris,Amara familiaris,Amara familiaris
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7416497/d113s0010.jpg,Pterostichus macer,Pterostichus gracilis,Pterostichus macer,Pterostichus anthracinus,Pterostichus madidus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5873525/d053s0554.jpg,Dyschirius aeneus,Bradycellus ruficollis,Dyschirius aeneus,Dyschirius globosus,Dyschirius aeneus
