ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035578/d035s0189.jpg,Nebria brevicollis,Calathus rotundicollis,Nebria salina,Leistus spinibarbis,Nebria salina
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5023058/d044s0168.jpg,Notiophilus rufipes,Dromius angustus,Notiophilus biguttatus,Agonum thoreyi,Notiophilus rufipes
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1036154/d090s0250.jpg,Bembidion guttula,Dyschirius tristis,Bembidion assimile,Bembidion assimile,Bembidion minimum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4308790/d192s0234.jpg,Dicheirotrichus obsoletus,Ophonus rupicola,Dicheirotrichus obsoletus,Bradycellus sharpi,Dicheirotrichus obsoletus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7840196/d120s0187.jpg,Pterostichus minor,Licinus punctatulus,Pterostichus minor,Amara aenea,Pterostichus minor
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4475794/d199s0070.jpg,Anthracus consputus,Anthracus consputus,Anthracus consputus,Paradromius linearis,Anthracus consputus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035290/d050s0447.jpg,Loricera pilicornis,Ophonus puncticeps,Loricera pilicornis,Pterostichus strenuus,Loricera pilicornis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4473617/d037s0316.jpg,Nebria rufescens,Pterostichus rhaeticus,Nebria rufescens,Agonum emarginatum,Nebria rufescens
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5873271/d214s0219.jpg,Microlestes maurus,Syntomus obscuroguttatus,Microlestes maurus,Microlestes maurus,Microlestes maurus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4475677/d197s0567.jpg,Acupalpus dubius,Microlestes maurus,Acupalpus dubius,Acupalpus dubius,Acupalpus dubius
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/9268484/d171s0093.jpg,Amara convexiusculus,Nebria livida,Anisodactylus binotatus,Agonum fuliginosum,Pterostichus niger
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5872148/d084s0112.jpg,Bembidion assimile,Bembidion assimile,Bembidion mannerheimii,Bembidion obtusum,Bembidion assimile
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035185/d158s0123.jpg,Amara aenea,Ophonus melletii,Amara communis,Bembidion atrocaeruleum,Amara aenea
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035931/d080s0329.jpg,Bembidion tetracolum,Harpalus pumilus,Bembidion tetracolum,Bembidion bruxellense,Bembidion tetracolum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035185/d158s0085.jpg,Amara aenea,Harpalus neglectus,Amara aenea,Amara similata,Amara spreta
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5756814/d065s0136.jpg,Ocys quinquestriatus,Miscodera arctica,Ocys quinquestriatus,Bembidion atrocaeruleum,Ocys quinquestriatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/9364935/d041s0317.jpg,Notiophilus biguttatus,Dicheirotrichus placidus,Notiophilus biguttatus,Notiophilus biguttatus,Notiophilus biguttatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035231/d168s0156.jpg,Amara apricaria,Pterostichus aethiops,Harpalus rubripes,Amara aulica,Harpalus rufipalpis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097924/d184s0030.jpg,Harpalus tardus,Pterostichus anthracinus,Harpalus tardus,Harpalus rufipalpis,Harpalus tardus
