ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097924/d184s0088.jpg,Harpalus tardus,Harpalus rubripes,Pterostichus vernalis,Amara fulva,Pterostichus vernalis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4473297/d105s0017.jpg,Stomis pumicatus,Sinechostictus stomoides,Stomis pumicatus,Bembidion atrocaeruleum,Stomis pumicatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097886/d078s0186.jpg,Bembidion lunatum,Agonum micans,Bembidion lunatum,Agonum versutum,Bembidion lunatum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755322/d129s0113.jpg,Calathus cinctus,Ophonus rufibarbis,Calathus cinctus,Calathus mollis,Calathus cinctus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/8267077/d198s0429.jpg,Acupalpus dorsalis,Acupalpus dorsalis,Acupalpus dorsalis,Demetrias monostigma,Demetrias monostigma
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/9479706/d066s0127.jpg,Bembidion laterale,Bembidion nigropiceum,Bembidion laterale,Bembidion laterale,Bembidion laterale
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4480200/d212s0037.jpg,Calodromius spilotus,Acupalpus dorsalis,Dromius quadrimaculatus,Acupalpus meridianus,Tachys scutellaris
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7888598/d058s0320.jpg,Aepopsis robinii,Aepopsis robinii,Aepopsis robinii,Aepus marinus,Aepus marinus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4473874/d032s0424.jpg,Leistus terminatus,Leistus terminatus,Leistus terminatus,Leistus terminatus,Leistus terminatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/8186956/d116s0195.jpg,Pterostichus adstrictus,Pterostichus rhaeticus,Pterostichus adstrictus,Pterostichus quadrifoveolatus,Pterostichus adstrictus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4479895/d215s0550.jpg,Syntomus obscuroguttatus,Badister sodalis,Syntomus truncatellus,Acupalpus meridianus,Syntomus truncatellus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755986/d194s0586.jpg,Bradycellus ruficollis,Bradycellus ruficollis,Bradycellus caucasicus,Bradycellus caucasicus,Bradycellus ruficollis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1036192/d088s0315.jpg,Bembidion obtusum,Bembidion guttula,Bembidion guttula,Philorhizus notatus,Bembidion clarkei
