ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097924/d184s0088.jpg,Harpalus tardus,Harpalus anxius,Harpalus tardus,Harpalus anxius,Harpalus tardus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4473297/d105s0017.jpg,Stomis pumicatus,Stomis pumicatus,Stomis pumicatus,Platynus livens,Stomis pumicatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097886/d078s0186.jpg,Bembidion lunatum,Bembidion decorum,Bembidion lunatum,Bembidion lunatum,Bembidion lunatum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755322/d129s0113.jpg,Calathus cinctus,Calathus melanocephalus,Calathus cinctus,Calathus cinctus,Calathus cinctus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/8267077/d198s0429.jpg,Acupalpus dorsalis,Acupalpus dorsalis,Acupalpus dorsalis,Acupalpus dorsalis,Acupalpus dorsalis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/9479706/d066s0127.jpg,Bembidion laterale,Bembidion laterale,Bembidion laterale,Bembidion laterale,Bembidion laterale
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4480200/d212s0037.jpg,Calodromius spilotus,Trechus obtusus,Dromius quadrimaculatus,Acupalpus meridianus,Dromius quadrimaculatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7888598/d058s0320.jpg,Aepopsis robinii,Aepopsis robinii,Aepopsis robinii,Aepopsis robinii,Aepopsis robinii
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4473874/d032s0424.jpg,Leistus terminatus,Leistus ferrugineus,Leistus terminatus,Leistus ferrugineus,Leistus terminatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/8186956/d116s0195.jpg,Pterostichus adstrictus,Pterostichus adstrictus,Pterostichus adstrictus,Pterostichus adstrictus,Pterostichus adstrictus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4479895/d215s0550.jpg,Syntomus obscuroguttatus,Agonum piceum,Bembidion normannum,Agonum piceum,Bembidion aeneum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755986/d194s0586.jpg,Bradycellus ruficollis,Bradycellus ruficollis,Ocys quinquestriatus,Bembidion deletum,Bradycellus ruficollis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1036192/d088s0315.jpg,Bembidion obtusum,Bradycellus caucasicus,Bembidion obtusum,Bembidion gilvipes,Bembidion obtusum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5716411/d102s0201.jpg,Pogonus littoralis,Pterostichus strenuus,Pogonus littoralis,Pterostichus strenuus,Pogonus littoralis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755027/d154s0244.jpg,Agonum nigrum,Agonum nigrum,Agonum nigrum,Agonum nigrum,Agonum nigrum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7639821/d070s0278.jpg,Bembidion dentellum,Bembidion dentellum,Bembidion bipunctatum,Bembidion dentellum,Agonum piceum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4480302/d210s0383.jpg,Paradromius linearis,Trechoblemus micros,Paradromius linearis,Paradromius linearis,Paradromius linearis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/9268484/d171s0158.jpg,Amara convexiusculus,Amara aulica,Amara convexiusculus,Amara convexiusculus,Amara convexiusculus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/9314786/d114s0046.jpg,Pterostichus niger,Pterostichus niger,Pterostichus niger,Pterostichus niger,Pterostichus niger
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755562/d217s0112.jpg,Polistichus connexus,Polistichus connexus,Polistichus connexus,Polistichus connexus,Polistichus connexus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4470539/d010s0022.jpg,Carabus clatratus,Carabus clatratus,Carabus clatratus,Carabus clatratus,Carabus clatratus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4475188/d188s0032.jpg,Ophonus cordatus,Ophonus cordatus,Ophonus cordatus,Ophonus cordatus,Ophonus cordatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5873214/d177s0148.jpg,Harpalus attenuatus,Harpalus rubripes,Harpalus attenuatus,Harpalus attenuatus,Harpalus attenuatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5756374/d102s0579.jpg,Pogonus chalceus,Bembidion decorum,Pogonus chalceus,Pogonus chalceus,Pogonus chalceus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1037633/d199s0190.jpg,Acupalpus meridianus,Acupalpus meridianus,Acupalpus meridianus,Bembidion normannum,Acupalpus meridianus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5873271/d214s0191.jpg,Microlestes maurus,Microlestes maurus,Microlestes maurus,Microlestes maurus,Microlestes maurus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/9206709/d149s0164.jpg,Agonum piceum,Agonum piceum,Agonum thoreyi,Agonum piceum,Agonum thoreyi
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/9491931/d125s0041.jpg,Abax parallelepipedus,Anisodactylus poeciloides,Abax parallelepipedus,Pterostichus niger,Abax parallelepipedus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4472913/d165s0100.jpg,Amara similata,Amara ovata,Amara ovata,Amara ovata,Amara similata
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7917481/d109s0064.jpg,Pterostichus cristatus,Pterostichus cristatus,Pterostichus cristatus,Pterostichus cristatus,Pterostichus cristatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5873214/d177s0161.jpg,Harpalus attenuatus,Harpalus attenuatus,Harpalus attenuatus,Harpalus attenuatus,Harpalus attenuatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7416497/d113s0085.jpg,Pterostichus macer,Nebria salina,Pterostichus macer,Pterostichus macer,Pterostichus macer
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4480502/d003s0029.jpg,Cicindela hybrida,Cicindela hybrida,Cicindela maritima,Cicindela hybrida,Cicindela hybrida
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7840196/d120s0113.jpg,Pterostichus minor,Notiophilus germinyi,Pterostichus minor,Pterostichus minor,Pterostichus minor
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4475761/d193s0176.jpg,Dicheirotrichus placidus,Dicheirotrichus placidus,Dicheirotrichus placidus,Dicheirotrichus cognatus,Dicheirotrichus placidus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7641814/d110s0012.jpg,Pterostichus madidus,Pterostichus madidus,Pterostichus madidus,Pterostichus madidus,Pterostichus madidus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035204/d159s0092.jpg,Amara anthobia,Amara anthobia,Amara anthobia,Amara familiaris,Amara anthobia
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1036796/d064s0400.jpg,Asaphidion flavipes,Asaphidion stierlini,Notiophilus rufipes,Asaphidion stierlini,Asaphidion curtum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4480302/d210s0279.jpg,Paradromius linearis,Paradromius linearis,Paradromius linearis,Paradromius linearis,Paradromius linearis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4475908/d104s0103.jpg,Patrobus assimilis,Patrobus atrorufus,Patrobus assimilis,Patrobus assimilis,Stomis pumicatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4308806/d085s0390.jpg,Bembidion minimum,Bembidion minimum,Bembidion minimum,Dyschirius salinus,Bembidion minimum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755322/d129s0136.jpg,Calathus cinctus,Calathus ambiguus,Calathus cinctus,Calathus cinctus,Calathus cinctus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097923/d184s0202.jpg,Harpalus smaragdinus,Harpalus servus,Harpalus smaragdinus,Harpalus smaragdinus,Harpalus smaragdinus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1036899/d051s0421.jpg,Clivina collaris,Clivina collaris,Clivina collaris,Clivina collaris,Clivina collaris
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/9415910/d198s0333.jpg,Acupalpus flavicollis,Dicheirotrichus placidus,Acupalpus flavicollis,Acupalpus flavicollis,Acupalpus flavicollis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/8047965/d084s0479.jpg,Bembidion clarkei,Bembidion schueppelii,Bembidion schueppelii,Bembidion gilvipes,Bembidion schueppelii
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097882/d073s0364.jpg,Bembidion atrocaeruleum,Bembidion atrocaeruleum,Bembidion atrocaeruleum,Bembidion atrocaeruleum,Bembidion atrocaeruleum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7856746/d117s0152.jpg,Pterostichus melanarius,Pterostichus nigrita,Pterostichus melanarius,Pterostichus anthracinus,Pterostichus melanarius
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097867/d101s0005.jpg,Bembidion mannerheimii,Bembidion assimile,Bembidion mannerheimii,Bembidion gilvipes,Bembidion assimile
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5872129/d076s0151.jpg,Bembidion decorum,Sinechostictus stomoides,Bembidion decorum,Bembidion monticola,Bembidion decorum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7975487/d122s0352.jpg,Pterostichus vernalis,Pterostichus vernalis,Pterostichus vernalis,Pterostichus vernalis,Pterostichus vernalis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035195/d161s0146.jpg,Amara familiaris,Amara lucida,Amara familiaris,Amara familiaris,Amara familiaris
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097864/d070s0326.jpg,Bembidion bipunctatum,Bembidion punctulatum,Bembidion bipunctatum,Bembidion bipunctatum,Bembidion nigricorne
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5756018/d204s0129.jpg,Badister bullatus,Badister bullatus,Badister bullatus,Badister bullatus,Badister bullatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/7642452/d116s0106.jpg,Pterostichus oblongopunctatus,Pterostichus cristatus,Pterostichus oblongopunctatus,Pterostichus oblongopunctatus,Pterostichus oblongopunctatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4308812/d191s0062.jpg,Anisodactylus poeciloides,Anisodactylus poeciloides,Anisodactylus poeciloides,Anisodactylus poeciloides,Anisodactylus poeciloides
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097883/d071s0331.jpg,Bembidion varium,Bembidion fumigatum,Bembidion semipunctatum,Bembidion semipunctatum,Bembidion varium
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4473297/d105s0023.jpg,Stomis pumicatus,Bembidion punctulatum,Stomis pumicatus,Bembidion biguttatum,Pterostichus strenuus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4471071/d019s0095.jpg,Carabus nitens,Carabus nitens,Carabus nitens,Carabus nitens,Carabus nitens
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097857/d207s0186.jpg,Lebia chlorocephala,Lebia chlorocephala,Lebia chlorocephala,Lebia chlorocephala,Lebia chlorocephala
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1035551/d049s0080.jpg,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius,Elaphrus riparius
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5757211/d211s0411.jpg,Dromius meridionalis,Dromius meridionalis,Dromius meridionalis,Dromius meridionalis,Dromius meridionalis
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755456/d127s0048.jpg,Platyderus depressus,Platyderus depressus,Platyderus depressus,Bembidion stephensii,Platyderus depressus
