ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/1036154/d090s0458.jpg,Bembidion guttula,Bembidion prasinum,Bembidion minimum,Agonum gracile,Bembidion minimum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097869/d089s0486.jpg,Bembidion biguttatum,Bembidion nigropiceum,Bembidion doris,Agonum thoreyi,Bembidion biguttatum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097912/d180s0066.jpg,Harpalus pumilus,Miscodera arctica,Harpalus pumilus,Bembidion monticola,Harpalus pumilus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/4480200/d212s0138.jpg,Calodromius spilotus,Paradromius longiceps,Calodromius spilotus,Demetrias monostigma,Calodromius spilotus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755082/d148s0173.jpg,Agonum micans,Ophonus rupicola,Bembidion varium,Cymindis vaporariorum,Agonum thoreyi
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5716406/d055s0138.jpg,Dyschirius salinus,Bembidion decorum,Dyschirius salinus,Dyschirius salinus,Dyschirius salinus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/9479706/d066s0275.jpg,Bembidion laterale,Trechoblemus micros,Bembidion laterale,Trechoblemus micros,Bembidion laterale
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/9364935/d041s0281.jpg,Notiophilus biguttatus,Notiophilus quadripunctatus,Notiophilus rufipes,Notiophilus quadripunctatus,Notiophilus biguttatus
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/5755080/d147s0034.jpg,Agonum gracile,Bembidion monticola,Agonum gracile,Agonum micans,Agonum piceum
/fs/ess/PAS2136/Rayeed/Carabids-100K-V2/BritishCarabids/British Carabids/database/6097924/d184s0241.jpg,Harpalus tardus,Anisodactylus nemorivagus,Harpalus rufipalpis,Harpalus serripes,Harpalus rufipalpis
