ImageFilePath,Genus,ScientificName,Length,Width,TempMin,TempMax,Precipitation,Rain,Snowfall,WindGust,WindSpeed,TempAvg,Embedding,Pred_NaiveBayes,Pred_LogisticRegression,Pred_NearestNeighbor,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000033653.jpg/ab54f9a8-c595-4bec-8bb9-5495ef2f974c_371a430b-5aac-44ee-ba97-a53e294574d5.png,Synuchus,Synuchus impunctatus,0.530810992719345,0.242518842306144,27.3,18.9,18.7,18.7,0.0,38.5,11.6,23.1,[[ 2.2748895 -1.1932064 -1.9985443 ...  2.2134407 -2.279158   4.365772 ]],Cymindis cribricollis,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000034567.jpg/1ea3c0bf-1cf6-4ef4-9591-12105fa887e5_cf87102d-02dd-4334-acb2-935636d990cf.png,Agonum,Agonum punctiforme,0.45796456590457,0.24392463099615,29.7,16.6,0.0,0.0,0.0,36.4,18.1,23.15,[[ 1.7991288 -1.5654267 -1.2066966 ...  0.9820705 -4.5799503  5.200902 ]],Agonum punctiforme,Agonum punctiforme,Synuchus impunctatus,Synuchus impunctatus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000008980.jpg/30843044-fa19-486c-be30-ccca8dab873e_174c647e-736c-452f-9257-e3ddeb9c4a90.png,Pterostichus,Pterostichus melanarius,0.994307309491582,0.569770803920149,23.2,15.6,7.2,7.2,0.0,47.9,15.2,19.4,[[ 2.0005248 -1.675143  -3.1834283 ...  2.9649827 -2.561775   2.6048775]],Pterostichus melanarius,Pterostichus melanarius,Pterostichus melanarius,Pterostichus melanarius
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000041381.jpg/c2135444-2379-4790-9d50-45643ac64a1f_e52bae37-54b6-4d9f-942f-23b980859d88.png,Calosoma,Calosoma affine,1.31337874032198,0.927956382539342,30.6,20.0,0.7,0.7,0.0,47.9,24.4,25.3,[[ 2.4083998 -1.73116   -4.090126  ... -0.5217858 -0.922935   4.2481785]],Calosoma affine,Calosoma affine,Calosoma affine,Calosoma affine
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000046116.jpg/d09ef1eb-5e3a-46dc-b1c5-029bf6b6011b_14338739-4299-4202-81ec-7173564b3a45.png,Pterostichus,Pterostichus lachrymosus,0.823790856395419,0.437287253446878,19.7,12.6,6.1,6.1,0.0,49.7,16.1,16.15,[[ 2.0902765 -1.9256122 -2.302946  ...  2.6786408 -5.2331977  3.645141 ]],Cyclotrachelus torvus,Pterostichus protractus,Cyclotrachelus torvus,Pterostichus lachrymosus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000034537.jpg/d24ff33d-cc3d-46ea-9aea-56e94c21b69e_de8dce36-c17b-4d8b-9fe8-096263792b8b.png,Chlaenius,Chlaenius aestivus,1.00169523572436,0.534333510905515,31.0,22.4,0.0,0.0,0.0,25.6,7.6,26.7,"[[ 2.2355447  -1.6181747   0.46125796 ...  3.3313456  -2.0945213
   5.0220942 ]]",Chlaenius aestivus,Chlaenius aestivus,Chlaenius aestivus,Chlaenius aestivus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000051603.jpg/ddec2fb2-3351-45ba-8d41-bc19eff7acf3_79dd74c7-f3ec-41b0-a24d-f4eed5cf9e8d.png,Pterostichus,Pterostichus restrictus,0.596931624643442,0.356578433595432,16.4,6.9,0.3,0.3,0.0,58.0,17.1,11.65,[[ 1.152687  -1.8037838 -1.5537802 ...  0.3677616 -4.8653846  5.0046873]],Pterostichus restrictus,Pterostichus restrictus,Pterostichus restrictus,Pterostichus restrictus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000040699.jpg/48330fa4-ee2d-4cd4-9f68-b4c334d3e39d_7d1643cc-751d-4c09-980c-850240260721.png,Synuchus,Synuchus impunctatus,0.554347826086957,0.304541863611346,23.9,16.6,19.1,19.1,0.0,45.4,17.2,20.25,"[[ 0.84332097 -1.9287186  -2.2350583  ...  3.4485857  -5.933653
   3.7201526 ]]",Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000033638.jpg/1485121b-573a-4bab-ab8c-0f626b3f212a_9661bff8-dd74-4fb2-a122-6f6e1220da0d.png,Synuchus,Synuchus impunctatus,0.565094092207287,0.259908652224337,27.1,16.7,2.7,2.7,0.0,38.9,14.1,21.9,[[ 1.8806647 -1.3150438 -3.0180695 ...  1.4572791 -2.151614   3.1397836]],Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000051554.jpg/3d9990e9-8053-459e-95be-6cb0e417511b_ed147dde-b40a-4865-a0e4-b9b27bfc01cc.png,Calathus,Calathus advena,0.585968968309048,0.335544931494933,23.0,11.5,0.1,0.1,0.0,55.8,16.0,17.25,[[ 1.6204478 -1.6467197  0.8351064 ...  1.4299291 -2.5276775  2.4688525]],Calathus advena,Calathus advena,Calathus advena,Calathus advena
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000049812.jpg/43ae585e-301c-43be-a7cc-15f61aaf3d2e_b8c3de74-4c4e-41c8-90ce-55f77d76ba4e.png,Cyclotrachelus,Cyclotrachelus torvus,0.966688412305892,0.598556822925167,31.8,18.4,0.2,0.2,0.0,41.4,21.7,25.1,[[ 2.3772666 -2.0243425 -1.6306062 ...  1.2276357 -4.714381   5.666726 ]],Pterostichus stygicus,Cyclotrachelus torvus,Pterostichus melanarius,Cyclotrachelus torvus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000051525.jpg/bb2b5244-ef76-4841-927e-8ce08fce2d0c_4e075399-c3c5-476e-b4cc-c2a7c3853b85.png,Cratacanthus,Cratacanthus dubius,0.521026049295351,0.320145396331485,36.8,18.8,0.0,0.0,0.0,38.2,23.1,27.8,[[ 1.6847612 -1.8384647  1.6667334 ...  3.1147316 -2.1140225  4.8520203]],Cratacanthus dubius,Cratacanthus dubius,Cratacanthus dubius,Cratacanthus dubius
