ImageFilePath,ScientificName,Pred_NaiveBayes,Pred_LogisticRegression,Pred_SVMLinear,Pred_SVMPolynomial,Pred_SVMRadialBasis,Pred_NearestNeighbor,Pred_RandomForest,Pred_MLP_Baseline
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000008916.jpg/5e898cb6-c146-4bd6-9d0c-8d7a3bedd8c8_7fba9b0b-f16a-411d-b3d4-01ab538ee2e2.png,Pterostichus melanarius,Pterostichus melanarius,Pterostichus melanarius,Pterostichus melanarius,Calathus advena,Pterostichus melanarius,Pterostichus melanarius,Pterostichus melanarius,Pterostichus melanarius
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000051184.jpg/0e8dd76a-59ac-4c9a-a360-aee06500b51e_ff2cdc25-e319-4237-98ce-e88a5dc5d196.png,Euryderus grossus,Euryderus grossus,Euryderus grossus,Euryderus grossus,Euryderus grossus,Euryderus grossus,Euryderus grossus,Euryderus grossus,Euryderus grossus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000051166.jpg/46535276-b912-4ac2-b4b8-8611c916db7b_fe71d356-8979-45a1-aeb7-ca476c887807.png,Selenophorus planipennis,Amara quenseli,Selenophorus planipennis,Selenophorus planipennis,Carabus goryi,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Selenophorus planipennis
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000033571.jpg/1130806e-3b99-46b1-9ca2-5b7efb188405_17e85760-356a-4756-9e04-776dbcb150f8.png,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Calathus advena,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus,Synuchus impunctatus
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000059781.jpg/4dad787b-4718-4be2-a540-222dc97e8c5a_e4580df6-ad4d-4831-8d1b-4aad0e4ed1b2.png,Omus dejeanii,Carabus goryi,Carabus nemoralis,Carabus nemoralis,Carabus goryi,Carabus goryi,Carabus nemoralis,Carabus goryi,Omus dejeanii
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000051556.jpg/55593060-6faa-41b3-8ca5-dc4641cbdf5e_7af8b7b1-6b59-4610-b296-6f181da97d02.png,Pterostichus restrictus,Calathus advena,Calathus advena,Calathus advena,Calathus advena,Calathus advena,Calathus advena,Calathus advena,Calathus advena
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000012430.jpg/79b7155e-6d7f-4d81-be72-ac19bbf170f0_c0b173fb-16b5-4543-86ec-9740967b9ed2.png,Carabus goryi,Carabus goryi,Carabus goryi,Carabus goryi,Carabus goryi,Carabus goryi,Carabus goryi,Carabus goryi,Carabus goryi
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000046105.jpg/d3317d16-79d1-4e1c-9f9a-f9e836b206a9_9908683f-b276-466d-a97d-06a3536f1ea2.png,Carabus goryi,Carabus goryi,Carabus goryi,Carabus goryi,Calathus advena,Carabus goryi,Carabus goryi,Carabus goryi,Carabus goryi
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000069273.jpg/cc696828-b9a1-42aa-bed0-3df71110353b_6e6418dc-57e4-43ab-bf4b-4356ea638b70.png,Pterostichus trinarius,Synuchus impunctatus,Cyclotrachelus torvus,Cyclotrachelus torvus,Calathus advena,Calathus advena,Calathus advena,Calathus advena,Pterostichus melanarius
/fs/ess/PAS2136/Rayeed/BeetlePalooza/individual_images/A00000040689.jpg/381e6c5c-e7c6-4346-903a-e5a1737359e3_3ee0d7a5-dc6c-4a40-8db4-b6f34d1e2104.png,Synuchus impunctatus,Calathus advena,Synuchus impunctatus,Synuchus impunctatus,Calathus advena,Calathus advena,Calathus advena,Calathus advena,Synuchus impunctatus
